name,count,scores,crime_rate
MELBOURNE,8148,3.3506,15827.16034855055
SOUTH YARRA,879,2.8,6899.756469059524
BALWYN NORTH,86,2.6667,3105.538670299908
SOUTHBANK,1434,3.2468,15827.16034855055
ASHWOOD,53,7.9231,4140.40594371167
BELGRAVE SOUTH,41,1.5,3482.8953108305464
WEST MELBOURNE,275,3.3158,15827.16034855055
DANDENONG NORTH,214,1.593,8203.788216311244
GREENSBOROUGH,227,1.4286,5660.449795373051
KENSINGTON,203,0.0907,15827.16034855055
BEAUMARIS,96,0.0612,3643.655763446149
NEWPORT,127,6.5,5003.628070902872
WERRIBEE,302,1.6842,4236.219362217122
RICHMOND,956,2.1236,10769.277615939747
PEARCEDALE,59,1.3182,4335.833193799406
ST KILDA,1334,2.0,8653.710247349823
ALPHINGTON,65,3.1429,10769.277615939747
DIAMOND CREEK,68,2.8571,2762.507506813877
DIXONS CREEK,9,2.0,3482.8953108305464
WILLIAMSTOWN,233,3.75,5003.628070902872
MITCHAM,131,1.6486,3685.6682331040433
CLAYTON SOUTH,241,2.2857,4865.661961317009
NIDDRIE,82,1.8571,5237.599993744282
CAULFIELD NORTH,429,1.281,3399.888208607937
CLAYTON,325,2.45,4140.40594371167
ELTHAM,116,1.6667,2762.507506813877
MOUNT DANDENONG,11,5.0,3482.8953108305464
BAXTER,18,4.0,7562.480172018753
DOCKLANDS,1008,2.987,15827.16034855055
NORTHCOTE,402,1.7547,7068.9132412180015
PRAHRAN,565,3.7727,6899.756469059524
BRUNSWICK EAST,255,2.4643,6045.398266611638
PARKVILLE,442,2.6829,15827.16034855055
YARRAVILLE,262,2.1429,7202.33731274689
DONCASTER,135,1.7826,2924.116390987029
PRESTON,423,2.1964,7068.9132412180015
CHELTENHAM,308,2.2105,4865.661961317009
HOPPERS CROSSING,411,2.12,4236.219362217122
FRANKSTON,415,1.8793,7562.480172018753
UPWEY,34,2.6667,3482.8953108305464
BRAYBROOK,89,2.0,7202.33731274689
NORTH MELBOURNE,401,0.0345,15827.16034855055
ALTONA NORTH,143,1.4762,5003.628070902872
WANTIRNA SOUTH,231,2.325,5216.815867355379
WINDSOR,307,3.1379,6899.756469059524
CARLTON,839,1.878,15827.16034855055
HAWTHORN,694,2.0417,3105.538670299908
LARA,104,1.9286,6719.6104941379845
SYDENHAM,73,0.8438,6492.137566238967
BRIGHTON,347,3.069,3643.655763446149
NARRE WARREN EAST,3,3.0,3482.8953108305464
PORT MELBOURNE,356,4.4,15827.16034855055
NARRE WARREN SOUTH,114,1.5882,4335.833193799406
IVANHOE EAST,9,3.5,5660.449795373051
LAVERTON,235,3.1,5003.628070902872
MOUNT WAVERLEY,272,3.0323,4140.40594371167
IVANHOE,72,3.5,5660.449795373051
THOMASTOWN,379,1.938,5082.795246325933
CLIFTON HILL,120,3.2308,10769.277615939747
CARNEGIE,133,2.1579,3399.888208607937
FITZROY,964,2.2317,10769.277615939747
MELBOURNE AIRPORT,667,1.9,6817.47283795467
GLEN IRIS,175,2.0435,3105.538670299908
MALVERN,214,5.4286,6899.756469059524
HEATHERTON,12,1.0,4865.661961317009
FAIRFIELD,57,2.3333,10769.277615939747
ALBERT PARK,207,3.7273,8653.710247349823
TOORAK,265,2.0444,6899.756469059524
SUNSHINE NORTH,68,12.6667,6492.137566238967
BRUNSWICK,798,1.7015,6045.398266611638
SOUTH MELBOURNE,561,3.6538,8653.710247349823
HUNTINGDALE,6,3.0,4140.40594371167
BRIGHTON EAST,363,1.3158,3643.655763446149
HILLSIDE,226,2.1471,4982.994391020528
ST KILDA WEST,86,1.4286,8653.710247349823
ASCOT VALE,175,2.5,5237.599993744282
FITZROY NORTH,327,1.8684,10769.277615939747
BAYSWATER,179,1.95,5216.815867355379
CHIRNSIDE PARK,134,2.5,3482.8953108305464
NARRE WARREN,158,1.8696,4335.833193799406
MCKINNON,103,4.2759,3399.888208607937
COLLINGWOOD,467,2.8667,10769.277615939747
BOX HILL,159,1.5122,3685.6682331040433
MENZIES CREEK,4,2.0,3482.8953108305464
ALTONA,175,3.1053,5003.628070902872
EPPING,279,1.8036,5082.795246325933
FERNTREE GULLY,261,2.2093,5216.815867355379
CAMPBELLFIELD,39,2.3333,6817.47283795467
CRAIGIEBURN,308,2.5758,6817.47283795467
OAKLEIGH,94,1.8,4140.40594371167
MENTONE,174,1.6538,4865.661961317009
CHELSEA,62,1.6,4865.661961317009
PASCOE VALE,108,1.5714,6045.398266611638
NOBLE PARK,205,2.1364,8203.788216311244
EAST MELBOURNE,702,2.4286,15827.16034855055
ROXBURGH PARK,89,7.1333,6817.47283795467
LILYDALE,66,1.8889,3482.8953108305464
BLACKBURN NORTH,23,2.0,3685.6682331040433
WERRIBEE SOUTH,57,4.4,4236.219362217122
BRUNSWICK WEST,227,2.2,6045.398266611638
FOREST HILL,77,2.4,3685.6682331040433
KEW,210,2.4286,3105.538670299908
SOUTH MORANG,354,1.8485,5082.795246325933
KILSYTH,60,1.0,3482.8953108305464
DEER PARK,63,1.1765,6492.137566238967
SEDDON,82,1.0,7202.33731274689
YARRA JUNCTION,14,2.0,3482.8953108305464
BUNDOORA,301,1.8286,5082.795246325933
RESERVOIR,392,1.2283,7068.9132412180015
RINGWOOD,239,2.5,5009.446969310116
KEYSBOROUGH,215,2.0556,8203.788216311244
POINT COOK,333,1.9516,4236.219362217122
TARNEIT,209,2.5952,4236.219362217122
TAYLORS LAKES,183,2.2727,6492.137566238967
MULGRAVE,217,1.0357,4140.40594371167
MAIDSTONE,150,2.0345,7202.33731274689
TEMPLESTOWE,82,1.0769,2924.116390987029
PRINCES HILL,54,3.5,10769.277615939747
TULLAMARINE,101,1.5556,6817.47283795467
DONVALE,44,3.1429,2924.116390987029
GLEN WAVERLEY,339,1.9545,4140.40594371167
CAIRNLEA,32,3.0,6492.137566238967
THORNBURY,260,1.9714,7068.9132412180015
CRANBOURNE WEST,79,1.8462,4335.833193799406
WESTMEADOWS,38,1.6667,6817.47283795467
MALVERN EAST,334,2.0811,6899.756469059524
BURWOOD EAST,88,2.0909,3685.6682331040433
MERNDA,276,1.925,5082.795246325933
CARRUM DOWNS,261,2.0233,7562.480172018753
BROADMEADOWS,195,1.4103,6817.47283795467
KINGSVILLE,20,5.0,7202.33731274689
PAKENHAM,279,1.7755,3992.718446601942
ROWVILLE,294,1.64,5216.815867355379
HAMPTON,329,0.6515,3643.655763446149
CROYDON HILLS,41,2.2941,5009.446969310116
DOVETON,69,2.125,4335.833193799406
BLACKBURN,101,0.9524,3685.6682331040433
HAWTHORN EAST,344,2.3333,3105.538670299908
WARRANDYTE,184,1.2623,2924.116390987029
FAWKNER,74,1.8,6045.398266611638
HIGHETT,86,2.3636,3643.655763446149
COBURG NORTH,110,1.8571,6045.398266611638
SUNBURY,515,1.5765,6817.47283795467
DOREEN,93,1.6364,2762.507506813877
MURRUMBEENA,57,2.0,3399.888208607937
SUNSHINE WEST,413,1.6912,6492.137566238967
ENDEAVOUR HILLS,117,1.6154,4335.833193799406
WEST FOOTSCRAY,122,2.4375,7202.33731274689
SPRINGVALE,93,1.3333,8203.788216311244
KNOXFIELD,57,2.0,5216.815867355379
COBURG,232,1.7333,6045.398266611638
SPRINGVALE SOUTH,71,1.9,8203.788216311244
OFFICER,33,3.3333,3992.718446601942
ELWOOD,263,1.7209,8653.710247349823
VIEWBANK,28,4.6667,5660.449795373051
DANDENONG,263,1.7967,8203.788216311244
FRASER RISE,14,3.5,4982.994391020528
MILL PARK,217,3.3429,5082.795246325933
RIDDELLS CREEK,36,1.0769,3089.8193893253424
BULLEEN,408,2.5294,2924.116390987029
ST KILDA EAST,181,2.3548,8653.710247349823
WATSONIA,33,2.4286,5660.449795373051
FRANKSTON SOUTH,215,1.6977,7562.480172018753
HALLAM,72,1.9062,4335.833193799406
ESSENDON,254,1.76,5237.599993744282
DELAHEY,47,1.2,6492.137566238967
PANTON HILL,33,1.2,2762.507506813877
RAVENHALL,22,3.5,4982.994391020528
WOLLERT,77,2.3462,5082.795246325933
WHITTLESEA,18,2.2,5082.795246325933
BROOKFIELD,83,1.0833,4982.994391020528
PASCOE VALE SOUTH,96,3.1,6045.398266611638
ALBANVALE,26,2.0,6492.137566238967
CRANBOURNE,133,2.4211,4335.833193799406
HURSTBRIDGE,17,3.6667,2762.507506813877
LALOR,71,3.4211,5082.795246325933
ALBION,27,3.0,6492.137566238967
DINGLEY VILLAGE,66,3.5,4865.661961317009
BORONIA,97,3.5556,5216.815867355379
NUNAWADING,47,6.5,3685.6682331040433
MELTON WEST,41,5.0,4982.994391020528
AVALON,21,4.5,6719.6104941379845
FOOTSCRAY,439,2.6579,7202.33731274689
BERWICK,209,1.6,4335.833193799406
CAULFIELD EAST,178,1.8333,3399.888208607937
BEACONSFIELD,31,2.25,3992.718446601942
ABBOTSFORD,360,3.4091,10769.277615939747
MACLEOD,134,1.902,5660.449795373051
RESEARCH,20,1.0,2762.507506813877
HADFIELD,22,2.5,6045.398266611638
KEW EAST,59,3.3333,3105.538670299908
WANTIRNA,373,2.4545,5216.815867355379
RIPPONLEA,23,5.5,8653.710247349823
UPPER FERNTREE GULLY,59,1.8182,5216.815867355379
BONBEACH,203,2.3846,4865.661961317009
AIRPORT WEST,59,2.2,5237.599993744282
BELLFIELD,12,1.4,5660.449795373051
MOONEE PONDS,329,2.14,5237.599993744282
EAGLEMONT,59,2.88,5660.449795373051
CROYDON,98,2.3077,5009.446969310116
BALACLAVA,128,2.4167,8653.710247349823
MOOROOLBARK,295,2.0,3482.8953108305464
DONCASTER EAST,158,2.2727,2924.116390987029
GLENROY,131,1.4889,6045.398266611638
LYNBROOK,28,2.6667,4335.833193799406
BLACKBURN SOUTH,86,3.5,3685.6682331040433
WHEELERS HILL,133,1.4737,4140.40594371167
BAYSWATER NORTH,75,3.0526,5009.446969310116
CAMBERWELL,243,1.3929,3105.538670299908
OAK PARK,40,1.6,6045.398266611638
BENTLEIGH,143,1.3571,3399.888208607937
CAROLINE SPRINGS,159,2.44,4982.994391020528
WALLAN,77,2.2727,6866.972166414592
SUNSHINE,177,2.3889,6492.137566238967
STRATHMORE,67,1.625,5237.599993744282
SOUTH WHARF,442,4.3,15827.16034855055
MARIBYRNONG,205,1.5556,7202.33731274689
GISBORNE,70,1.2727,3089.8193893253424
BENTLEIGH EAST,201,3.0,3399.888208607937
CARRUM,32,1.0,4865.661961317009
NARRE WARREN NORTH,29,1.875,4335.833193799406
WARRANWOOD,55,1.5833,5009.446969310116
MIDDLE PARK,53,4.0,8653.710247349823
BURNSIDE,24,0.8889,4982.994391020528
SCORESBY,49,2.1818,5216.815867355379
CRANBOURNE NORTH,94,2.3125,4335.833193799406
BURWOOD,154,2.4054,3685.6682331040433
ALTONA MEADOWS,74,1.8889,5003.628070902872
GLADSTONE PARK,49,2.7778,6817.47283795467
SILVAN,10,1.75,3482.8953108305464
BOX HILL NORTH,61,4.25,3685.6682331040433
CARLTON NORTH,210,3.1333,10769.277615939747
KEILOR DOWNS,42,1.8235,6492.137566238967
KEILOR EAST,167,1.75,5237.599993744282
NORTH WARRANDYTE,18,5.0,2762.507506813877
ROSANNA,49,3.0,5660.449795373051
MELTON SOUTH,76,1.4444,4982.994391020528
ARMADALE,183,1.3125,6899.756469059524
VERMONT SOUTH,40,1.0,3685.6682331040433
OAKLEIGH SOUTH,29,1.6,4140.40594371167
SEAFORD,135,1.6316,7562.480172018753
ST ALBANS,107,2.4667,6492.137566238967
TECOMA,226,1.36,3482.8953108305464
HEIDELBERG,109,1.24,5660.449795373051
MOUNT ELIZA,167,2.375,7562.480172018753
BURNSIDE HEIGHTS,27,2.8,4982.994391020528
GREENVALE,82,1.4706,6817.47283795467
SURREY HILLS,76,1.75,3105.538670299908
MANOR LAKES,106,1.0909,4236.219362217122
HAMPTON PARK,50,1.6471,4335.833193799406
TAYLORS HILL,106,2.0,4982.994391020528
CREMORNE,188,4.25,10769.277615939747
VERMONT,92,2.8333,3685.6682331040433
GARDENVALE,11,0.75,3399.888208607937
BOTANIC RIDGE,54,1.5,4335.833193799406
CROYDON NORTH,47,1.8333,5009.446969310116
FLEMINGTON,274,3.8,15827.16034855055
SPOTSWOOD,66,2.0,5003.628070902872
WILLIAMSTOWN NORTH,18,1.5,5003.628070902872
LANGWARRIN,81,2.7273,7562.480172018753
PATTERSON LAKES,46,8.0,4865.661961317009
FRANKSTON NORTH,35,2.0909,7562.480172018753
BALWYN,87,2.7143,3105.538670299908
TRUGANINA,89,1.9524,4982.994391020528
BLACK ROCK,87,6.5,3643.655763446149
ELTHAM NORTH,25,5.0,2762.507506813877
ASPENDALE GARDENS,50,1.4706,4865.661961317009
MELTON,45,2.3333,4982.994391020528
BOX HILL SOUTH,34,2.0,3685.6682331040433
KEALBA,16,1.8571,6492.137566238967
KEILOR,32,1.7273,6492.137566238967
AVONDALE HEIGHTS,94,1.4167,5237.599993744282
MOORABBIN,106,2.25,4865.661961317009
CANTERBURY,66,1.5,3105.538670299908
ATTWOOD,27,1.8889,6817.47283795467
WYNDHAM VALE,74,4.0,4236.219362217122
DERRIMUT,87,1.8824,6492.137566238967
KALORAMA,5,3.0,3482.8953108305464
COBBLEBANK,8,4.0,4982.994391020528
ELSTERNWICK,117,3.3333,3399.888208607937
GLEN HUNTLY,47,1.0,3399.888208607937
KEILOR LODGE,5,0.3333,6492.137566238967
NOBLE PARK NORTH,32,5.0,8203.788216311244
ABERFELDIE,50,2.2,5237.599993744282
HEIDELBERG WEST,45,1.6667,5660.449795373051
OAKLEIGH EAST,47,2.5833,4140.40594371167
RINGWOOD EAST,46,1.25,5009.446969310116
LOWER PLENTY,45,1.6667,5660.449795373051
CAULFIELD SOUTH,83,4.1429,3399.888208607937
BURNLEY,71,4.0,10769.277615939747
SANDRINGHAM,45,2.6667,3643.655763446149
PARK ORCHARDS,65,5.7778,2924.116390987029
CRANBOURNE SOUTH,9,3.0,4335.833193799406
YARRAMBAT,16,2.0,2762.507506813877
TEMPLESTOWE LOWER,92,1.25,2924.116390987029
STRATHMORE HEIGHTS,4,1.0,5237.599993744282
ORMOND,85,2.1429,3399.888208607937
WOORI YALLOCK,1050,9.2308,3482.8953108305464
CLYDE NORTH,4,1.0,4335.833193799406
RINGWOOD NORTH,162,3.0,5009.446969310116
BELGRAVE,263,0.8704,3482.8953108305464
CLIFTON SPRINGS,36,2.0,6719.6104941379845
MOUNT EVELYN,55,2.6,3482.8953108305464
THE BASIN,11,4.0,5216.815867355379
SOMERTON,12,5.0,6817.47283795467
DEVON MEADOWS,47,3.3333,4335.833193799406
PARKDALE,132,1.4444,4865.661961317009
HUGHESDALE,41,4.0,4140.40594371167
PENTLAND HILLS,1,0.5,5336.963522454476
PLENTY,9,1.3333,2762.507506813877
GOWANBRAE,90,3.375,6045.398266611638
KINGSBURY,19,1.2222,7068.9132412180015
WILLIAMS LANDING,30,1.6,4236.219362217122
SANDHURST,616,1.1364,7562.480172018753
BRIAR HILL,35,2.0,5660.449795373051
LYSTERFIELD,141,8.0,3482.8953108305464
SEAHOLME,19,1.5,5003.628070902872
LITTLE RIVER,21,2.3333,6719.6104941379845
HEALESVILLE,103,6.0,3482.8953108305464
KINGS PARK,28,2.25,6492.137566238967
ASPENDALE,30,0.625,4865.661961317009
BACCHUS MARSH,40,2.3333,5336.963522454476
HARKNESS,33,0.6667,4982.994391020528
MERRIMU,2,0.6,5336.963522454476
YARRA GLEN,29,2.3333,3482.8953108305464
OLINDA,15,2.5,3482.8953108305464
MEADOW HEIGHTS,32,5.0,6817.47283795467
EDEN PARK,2,2.0,5082.795246325933
MONT ALBERT,25,3.0,3685.6682331040433
CHELSEA HEIGHTS,110,1.5455,4865.661961317009
HEATHMONT,26,1.0,5009.446969310116
DEANSIDE,3,2.0,4982.994391020528
ST HELENA,5,3.0,5660.449795373051
KURUNJANG,13,2.0,4982.994391020528
MORDIALLOC,67,1.5,4865.661961317009
MONTMORENCY,45,2.2727,5660.449795373051
COOLAROO,42,2.2,6817.47283795467
EUMEMMERRING,1,2.0,4335.833193799406
NEW GISBORNE,2,2.0,3089.8193893253424
MACCLESFIELD,7,1.0,3482.8953108305464
EYNESBURY,10,1.3333,4982.994391020528
DARLEY,14,2.0,5336.963522454476
HEIDELBERG HEIGHTS,24,3.0,5660.449795373051
MOORABBIN AIRPORT,9,0.5,4865.661961317009
CLARINDA,20,2.75,4865.661961317009
ASHBURTON,41,1.0,3105.538670299908
SEABROOK,42,1.5,5003.628070902872
MONTROSE,13,2.0,3482.8953108305464
SOMERVILLE,38,2.0,4335.833193799406
KOOYONG,28,3.5,6899.756469059524
TARRAWARRA,2,2.0,3482.8953108305464
KINGLAKE,4,2.0,3695.261776488465
CLYDE,6,4.0,4335.833193799406
CROYDON SOUTH,16,0.6667,5009.446969310116
CRANBOURNE EAST,50,2.2,4335.833193799406
CORIO,2,2.0,6719.6104941379845
WATSONIA NORTH,17,2.5,5660.449795373051
LYNDHURST,9,4.0,8203.788216311244
TRAVANCORE,42,1.0909,5237.599993744282
CHADSTONE,30,4.5,4140.40594371167
SKYE,35,1.3333,7562.480172018753
WARRANDYTE SOUTH,4,2.0,2924.116390987029
HAMPTON EAST,49,1.6,3643.655763446149
ESSENDON WEST,14,1.0,5237.599993744282
YALLAMBIE,27,2.5,5660.449795373051
GISBORNE SOUTH,1,3.0,3089.8193893253424
BEVERIDGE,13,1.6667,6866.972166414592
CAULFIELD,24,3.5,3399.888208607937
EDITHVALE,27,3.6667,4865.661961317009
ESSENDON NORTH,27,2.6667,5237.599993744282
DALLAS,19,0.8333,6817.47283795467
MONT ALBERT NORTH,17,1.5,3685.6682331040433
ROCKBANK,3,0.5,4982.994391020528
WANDIN EAST,1,2.0,3482.8953108305464
WATERWAYS,8,1.5,4865.661961317009
CALDER PARK,12,4.0,6492.137566238967
WONGA PARK,9,1.0,2924.116390987029
DEEPDENE,12,0.5,3105.538670299908
MONBULK,5,0.5,3482.8953108305464
GRUYERE,10,2.0,3482.8953108305464
KEILOR PARK,17,1.5,6492.137566238967
WATTLE GLEN,13,0.4,2762.507506813877
DANDENONG SOUTH,42,4.0,8203.788216311244
BELGRAVE HEIGHTS,10,4.0,3482.8953108305464
YELLINGBO,1,2.0,3482.8953108305464
SHERBROOKE,6,1.0,3482.8953108305464
DRYSDALE,79,1.2,6719.6104941379845
KILSYTH SOUTH,8,3.0,5009.446969310116
SASSAFRAS,25,2.0,3482.8953108305464
YERING,10,3.0,3482.8953108305464
NOTTING HILL,19,1.5,4140.40594371167
COLDSTREAM,34,2.0,3482.8953108305464
BROOKLYN,16,3.0,6492.137566238967
LYSTERFIELD SOUTH,1,1.25,4335.833193799406
INDENTED HEAD,6,5.0,6719.6104941379845
THE PATCH,3,2.0,3482.8953108305464
DIGGERS REST,16,2.6667,4982.994391020528
EMERALD,23,3.0,3992.718446601942
ARDEER,4,0.6667,6492.137566238967
KALLISTA,4,0.5,3482.8953108305464
UPPER PLENTY,5,2.0,6866.972166414592
PORTARLINGTON,12,3.0,6719.6104941379845
LAVERTON NORTH,11,2.0,4236.219362217122
WILDWOOD,3,2.0,6817.47283795467
JACANA,4,0.5,6817.47283795467
BONNIE BROOK,2,0.5,4982.994391020528
HODDLES CREEK,2,1.0,3482.8953108305464
TOOLERN VALE,3,2.0,4982.994391020528
MICKLEHAM,12,0.7143,6817.47283795467
KINGLAKE WEST,10,0.25,3695.261776488465
ESSENDON FIELDS,25,2.0,5237.599993744282
ST LEONARDS,36,1.0,6719.6104941379845
SEVILLE EAST,3,0.5,3482.8953108305464
BEACONSFIELD UPPER,4,2.0,3992.718446601942
BRAESIDE,17,4.0,4865.661961317009
BADGER CREEK,9,4.0,3482.8953108305464
TREMONT,9,2.0,3482.8953108305464
