name,code,lga_name11,lga_code11,total_division_c_offences,total_division_e_offences,total_division_a_offences,total_division_f_offences,reference_period,total_division_b_offences,total_division_d_offences,total_crime,lga_code18,persons_total,lga_name18,crime_rate
WEST MELBOURNE,24600,Melbourne (C),24600,1372,2759,4028,69,2018,15254,3418,26900,24600,169961,Melbourne (C),15827.16034855055
BROADFORD,24850,Mitchell (S),24850,173,466,678,6,2018,1510,209,3042,24850,44299,Mitchell (S),6866.972166414592
BROOKFIELD,24650,Melton (S),24650,213,870,1507,8,2018,4963,248,7809,24650,156713,Melton (C),4982.994391020528
BROOKLYN,21180,Brimbank (C),21180,597,1681,2412,23,2018,8153,684,13550,21180,208714,Brimbank (C),6492.137566238967
ELWOOD,25900,Port Phillip (C),25900,428,680,1257,17,2018,6639,775,9796,25900,113200,Port Phillip (C),8653.710247349823
EMERALD,21450,Cardinia (S),21450,197,465,758,14,2018,2604,239,4277,21450,107120,Cardinia (S),3992.718446601942
ALTONA NORTH,23110,Hobsons Bay (C),23110,117,456,754,21,2018,3218,261,4827,23110,96470,Hobsons Bay (C),5003.628070902872
BRUNSWICK,25250,Moreland (C),25250,272,900,1430,16,2018,7913,455,10986,25250,181725,Moreland (C),6045.398266611638
MOLESWORTH,25620,Murrindindi (S),25620,41,49,116,3,2018,289,37,535,25620,14478,Murrindindi (S),3695.261776488465
SOUTH GEELONG,22750,Greater Geelong (C),22750,507,1874,2481,26,2018,11158,902,16948,22750,252217,Greater Geelong (C),6719.6104941379845
SOUTH KINGSVILLE,23110,Hobsons Bay (C),23110,117,456,754,21,2018,3218,261,4827,23110,96470,Hobsons Bay (C),5003.628070902872
SOUTH MELBOURNE,25900,Port Phillip (C),25900,428,680,1257,17,2018,6639,775,9796,25900,113200,Port Phillip (C),8653.710247349823
SOUTH MORANG,27070,Whittlesea (C),27070,329,1217,2115,11,2018,7361,318,11351,27070,223322,Whittlesea (C),5082.795246325933
BOX HILL,26980,Whitehorse (C),26980,174,516,850,13,2018,4712,229,6494,26980,176196,Whitehorse (C),3685.6682331040433
BOX HILL NORTH,26980,Whitehorse (C),26980,174,516,850,13,2018,4712,229,6494,26980,176196,Whitehorse (C),3685.6682331040433
GISBORNE,24130,Macedon Ranges (S),24130,54,231,287,6,2018,869,79,1526,24130,49388,Macedon Ranges (S),3089.8193893253424
MOORABBIN,23430,Kingston (C),23430,278,971,1091,21,2018,5195,396,7952,23430,163431,Kingston (C) (Vic.),4865.661961317009
MORANDING,24850,Mitchell (S),24850,173,466,678,6,2018,1510,209,3042,24850,44299,Mitchell (S),6866.972166414592
MORDIALLOC,23430,Kingston (C),23430,278,971,1091,21,2018,5195,396,7952,23430,163431,Kingston (C) (Vic.),4865.661961317009
WOODSTOCK,27070,Whittlesea (C),27070,329,1217,2115,11,2018,7361,318,11351,27070,223322,Whittlesea (C),5082.795246325933
MELBOURNE,24600,Melbourne (C),24600,1372,2759,4028,69,2018,15254,3418,26900,24600,169961,Melbourne (C),15827.16034855055
MELBOURNE AIRPORT,23270,Hume (C),23270,548,2012,2439,21,2018,9605,673,15298,23270,224394,Hume (C),6817.47283795467
MELTON,24650,Melton (S),24650,213,870,1507,8,2018,4963,248,7809,24650,156713,Melton (C),4982.994391020528
MELTON SOUTH,24650,Melton (S),24650,213,870,1507,8,2018,4963,248,7809,24650,156713,Melton (C),4982.994391020528
MELTON WEST,24650,Melton (S),24650,213,870,1507,8,2018,4963,248,7809,24650,156713,Melton (C),4982.994391020528
MOORABBIN AIRPORT,23430,Kingston (C),23430,278,971,1091,21,2018,5195,396,7952,23430,163431,Kingston (C) (Vic.),4865.661961317009
WATERFORD PARK,24850,Mitchell (S),24850,173,466,678,6,2018,1510,209,3042,24850,44299,Mitchell (S),6866.972166414592
WATSONIA,20660,Banyule (C),20660,193,1467,882,11,2018,4543,276,7372,20660,130237,Banyule (C),5660.449795373051
HOMEWOOD,25620,Murrindindi (S),25620,41,49,116,3,2018,289,37,535,25620,14478,Murrindindi (S),3695.261776488465
PIPERS CREEK,24130,Macedon Ranges (S),24130,54,231,287,6,2018,869,79,1526,24130,49388,Macedon Ranges (S),3089.8193893253424
MAIDSTONE,24330,Maribyrnong (C),24330,200,491,777,12,2018,4738,364,6582,24330,91387,Maribyrnong (C),7202.33731274689
MIDDLE PARK,25900,Port Phillip (C),25900,428,680,1257,17,2018,6639,775,9796,25900,113200,Port Phillip (C),8653.710247349823
VIEWBANK,20660,Banyule (C),20660,193,1467,882,11,2018,4543,276,7372,20660,130237,Banyule (C),5660.449795373051
GARDENVALE,22310,Glen Eira (C),22310,150,335,700,9,2018,3738,299,5231,22310,153858,Glen Eira (C),3399.888208607937
GEELONG WEST,22750,Greater Geelong (C),22750,507,1874,2481,26,2018,11158,902,16948,22750,252217,Greater Geelong (C),6719.6104941379845
GREENHILL,24130,Macedon Ranges (S),24130,54,231,287,6,2018,869,79,1526,24130,49388,Macedon Ranges (S),3089.8193893253424
HUNTINGDALE,24970,Monash (C),24970,245,538,1036,18,2018,6124,323,8284,24970,200077,Monash (C),4140.40594371167
HEATH HILL,21450,Cardinia (S),21450,197,465,758,14,2018,2604,239,4277,21450,107120,Cardinia (S),3992.718446601942
HESKET,24130,Macedon Ranges (S),24130,54,231,287,6,2018,869,79,1526,24130,49388,Macedon Ranges (S),3089.8193893253424
JACANA,23270,Hume (C),23270,548,2012,2439,21,2018,9605,673,15298,23270,224394,Hume (C),6817.47283795467
KILLINGWORTH,25620,Murrindindi (S),25620,41,49,116,3,2018,289,37,535,25620,14478,Murrindindi (S),3695.261776488465
HAMPTON PARK,21610,Casey (C),21610,572,1637,3076,15,2018,8883,577,14760,21610,340419,Casey (C),4335.833193799406
GLEN IRIS,21110,Boroondara (C),21110,163,353,594,10,2018,4339,171,5630,21110,181289,Boroondara (C),3105.538670299908
MANIFOLD HEIGHTS,22750,Greater Geelong (C),22750,507,1874,2481,26,2018,11158,902,16948,22750,252217,Greater Geelong (C),6719.6104941379845
GLEN HUNTLY,22310,Glen Eira (C),22310,150,335,700,9,2018,3738,299,5231,22310,153858,Glen Eira (C),3399.888208607937
GLEN WAVERLEY,24970,Monash (C),24970,245,538,1036,18,2018,6124,323,8284,24970,200077,Monash (C),4140.40594371167
GLENAROUA,24850,Mitchell (S),24850,173,466,678,6,2018,1510,209,3042,24850,44299,Mitchell (S),6866.972166414592
GLENBURN,25620,Murrindindi (S),25620,41,49,116,3,2018,289,37,535,25620,14478,Murrindindi (S),3695.261776488465
GLENMORE,25150,Moorabool (S),25150,54,225,341,4,2018,1122,77,1823,25150,34158,Moorabool (S),5336.963522454476
BALACLAVA,25900,Port Phillip (C),25900,428,680,1257,17,2018,6639,775,9796,25900,113200,Port Phillip (C),8653.710247349823
GLENROY,25250,Moreland (C),25250,272,900,1430,16,2018,7913,455,10986,25250,181725,Moreland (C),6045.398266611638
GOLDIE,24130,Macedon Ranges (S),24130,54,231,287,6,2018,869,79,1526,24130,49388,Macedon Ranges (S),3089.8193893253424
HALLORA,20830,Baw Baw (S),20830,125,433,627,17,2018,1561,167,2930,20830,52015,Baw Baw (S),5632.990483514371
GOWANBRAE,25250,Moreland (C),25250,272,900,1430,16,2018,7913,455,10986,25250,181725,Moreland (C),6045.398266611638
GREENDALE,25150,Moorabool (S),25150,54,225,341,4,2018,1122,77,1823,25150,34158,Moorabool (S),5336.963522454476
GREENSBOROUGH,20660,Banyule (C),20660,193,1467,882,11,2018,4543,276,7372,20660,130237,Banyule (C),5660.449795373051
GREENVALE,23270,Hume (C),23270,548,2012,2439,21,2018,9605,673,15298,23270,224394,Hume (C),6817.47283795467
GROVEDALE,22750,Greater Geelong (C),22750,507,1874,2481,26,2018,11158,902,16948,22750,252217,Greater Geelong (C),6719.6104941379845
GRUYERE,27450,Yarra Ranges (S),27450,232,835,1088,22,2018,3030,302,5509,27450,158173,Yarra Ranges (S),3482.8953108305464
GUYS HILL,21450,Cardinia (S),21450,197,465,758,14,2018,2604,239,4277,21450,107120,Cardinia (S),3992.718446601942
HADFIELD,25250,Moreland (C),25250,272,900,1430,16,2018,7913,455,10986,25250,181725,Moreland (C),6045.398266611638
HALLAM,21610,Casey (C),21610,572,1637,3076,15,2018,8883,577,14760,21610,340419,Casey (C),4335.833193799406
HAMLYN HEIGHTS,22750,Greater Geelong (C),22750,507,1874,2481,26,2018,11158,902,16948,22750,252217,Greater Geelong (C),6719.6104941379845
HAMPTON,20910,Bayside (C),20910,112,279,466,12,2018,2785,198,3852,20910,105718,Bayside (C),3643.655763446149
HAMPTON EAST,20910,Bayside (C),20910,112,279,466,12,2018,2785,198,3852,20910,105718,Bayside (C),3643.655763446149
HARKAWAY,21610,Casey (C),21610,572,1637,3076,15,2018,8883,577,14760,21610,340419,Casey (C),4335.833193799406
BALLIANG,25150,Moorabool (S),25150,54,225,341,4,2018,1122,77,1823,25150,34158,Moorabool (S),5336.963522454476
HAWTHORN,21110,Boroondara (C),21110,163,353,594,10,2018,4339,171,5630,21110,181289,Boroondara (C),3105.538670299908
HAWTHORN EAST,21110,Boroondara (C),21110,163,353,594,10,2018,4339,171,5630,21110,181289,Boroondara (C),3105.538670299908
BALLIANG EAST,25150,Moorabool (S),25150,54,225,341,4,2018,1122,77,1823,25150,34158,Moorabool (S),5336.963522454476
HEALESVILLE,27450,Yarra Ranges (S),27450,232,835,1088,22,2018,3030,302,5509,27450,158173,Yarra Ranges (S),3482.8953108305464
HEATHCOTE JUNCTION,24850,Mitchell (S),24850,173,466,678,6,2018,1510,209,3042,24850,44299,Mitchell (S),6866.972166414592
HEATHERTON,23430,Kingston (C),23430,278,971,1091,21,2018,5195,396,7952,23430,163431,Kingston (C) (Vic.),4865.661961317009
HEATHMONT,24410,Maroondah (C),24410,177,1104,931,5,2018,3282,387,5886,24410,117498,Maroondah (C),5009.446969310116
HEIDELBERG,20660,Banyule (C),20660,193,1467,882,11,2018,4543,276,7372,20660,130237,Banyule (C),5660.449795373051
HEIDELBERG HEIGHTS,20660,Banyule (C),20660,193,1467,882,11,2018,4543,276,7372,20660,130237,Banyule (C),5660.449795373051
HEIDELBERG WEST,20660,Banyule (C),20660,193,1467,882,11,2018,4543,276,7372,20660,130237,Banyule (C),5660.449795373051
HIGH CAMP,24850,Mitchell (S),24850,173,466,678,6,2018,1510,209,3042,24850,44299,Mitchell (S),6866.972166414592
HIGHETT,20910,Bayside (C),20910,112,279,466,12,2018,2785,198,3852,20910,105718,Bayside (C),3643.655763446149
HODDLES CREEK,27450,Yarra Ranges (S),27450,232,835,1088,22,2018,3030,302,5509,27450,158173,Yarra Ranges (S),3482.8953108305464
HOPETOUN PARK,25150,Moorabool (S),25150,54,225,341,4,2018,1122,77,1823,25150,34158,Moorabool (S),5336.963522454476
HOPPERS CROSSING,27260,Wyndham (C),27260,368,1235,1949,12,2018,6741,511,10816,27260,255322,Wyndham (C),4236.219362217122
KOOYONG,26350,Stonnington (C),26350,411,519,856,16,2018,5638,578,8018,26350,116207,Stonnington (C),6899.756469059524
KORIELLA,25620,Murrindindi (S),25620,41,49,116,3,2018,289,37,535,25620,14478,Murrindindi (S),3695.261776488465
HUGHESDALE,24970,Monash (C),24970,245,538,1036,18,2018,6124,323,8284,24970,200077,Monash (C),4140.40594371167
HUMEVALE,27070,Whittlesea (C),27070,329,1217,2115,11,2018,7361,318,11351,27070,223322,Whittlesea (C),5082.795246325933
HURSTBRIDGE,25710,Nillumbik (S),25710,71,179,263,1,2018,1227,53,1794,25710,64941,Nillumbik (S),2762.507506813877
BALWYN,21110,Boroondara (C),21110,163,353,594,10,2018,4339,171,5630,21110,181289,Boroondara (C),3105.538670299908
INDENTED HEAD,22750,Greater Geelong (C),22750,507,1874,2481,26,2018,11158,902,16948,22750,252217,Greater Geelong (C),6719.6104941379845
JAM JERRUP,21450,Cardinia (S),21450,197,465,758,14,2018,2604,239,4277,21450,107120,Cardinia (S),3992.718446601942
INGLISTON,25150,Moorabool (S),25150,54,225,341,4,2018,1122,77,1823,25150,34158,Moorabool (S),5336.963522454476
BALWYN NORTH,21110,Boroondara (C),21110,163,353,594,10,2018,4339,171,5630,21110,181289,Boroondara (C),3105.538670299908
IONA,21450,Cardinia (S),21450,197,465,758,14,2018,2604,239,4277,21450,107120,Cardinia (S),3992.718446601942
IVANHOE,20660,Banyule (C),20660,193,1467,882,11,2018,4543,276,7372,20660,130237,Banyule (C),5660.449795373051
IVANHOE EAST,20660,Banyule (C),20660,193,1467,882,11,2018,4543,276,7372,20660,130237,Banyule (C),5660.449795373051
JINDIVICK,20830,Baw Baw (S),20830,125,433,627,17,2018,1561,167,2930,20830,52015,Baw Baw (S),5632.990483514371
JEETHO,26170,South Gippsland (S),26170,37,198,245,3,2018,481,47,1011,26170,29576,South Gippsland (S),3418.312144982418
JUMBUNNA,26170,South Gippsland (S),26170,37,198,245,3,2018,481,47,1011,26170,29576,South Gippsland (S),3418.312144982418
JUNCTION VILLAGE,21610,Casey (C),21610,572,1637,3076,15,2018,8883,577,14760,21610,340419,Casey (C),4335.833193799406
KALKALLO,23270,Hume (C),23270,548,2012,2439,21,2018,9605,673,15298,23270,224394,Hume (C),6817.47283795467
KALLISTA,27450,Yarra Ranges (S),27450,232,835,1088,22,2018,3030,302,5509,27450,158173,Yarra Ranges (S),3482.8953108305464
KALORAMA,27450,Yarra Ranges (S),27450,232,835,1088,22,2018,3030,302,5509,27450,158173,Yarra Ranges (S),3482.8953108305464
KANGAROO GROUND,25710,Nillumbik (S),25710,71,179,263,1,2018,1227,53,1794,25710,64941,Nillumbik (S),2762.507506813877
BANGHOLME,22670,Greater Dandenong (C),22670,716,1861,2465,26,2018,7422,1136,13626,22670,166094,Greater Dandenong (C),8203.788216311244
KARDELLA,26170,South Gippsland (S),26170,37,198,245,3,2018,481,47,1011,26170,29576,South Gippsland (S),3418.312144982418
KARDELLA SOUTH,26170,South Gippsland (S),26170,37,198,245,3,2018,481,47,1011,26170,29576,South Gippsland (S),3418.312144982418
KEALBA,21180,Brimbank (C),21180,597,1681,2412,23,2018,8153,684,13550,21180,208714,Brimbank (C),6492.137566238967
KEILOR,21180,Brimbank (C),21180,597,1681,2412,23,2018,8153,684,13550,21180,208714,Brimbank (C),6492.137566238967
KEILOR DOWNS,21180,Brimbank (C),21180,597,1681,2412,23,2018,8153,684,13550,21180,208714,Brimbank (C),6492.137566238967
KEILOR EAST,25060,Moonee Valley (C),25060,223,661,845,13,2018,4586,370,6698,25060,127883,Moonee Valley (C),5237.599993744282
KEILOR LODGE,21180,Brimbank (C),21180,597,1681,2412,23,2018,8153,684,13550,21180,208714,Brimbank (C),6492.137566238967
KEILOR NORTH,21180,Brimbank (C),21180,597,1681,2412,23,2018,8153,684,13550,21180,208714,Brimbank (C),6492.137566238967
KEILOR PARK,21180,Brimbank (C),21180,597,1681,2412,23,2018,8153,684,13550,21180,208714,Brimbank (C),6492.137566238967
KURUNJANG,24650,Melton (S),24650,213,870,1507,8,2018,4963,248,7809,24650,156713,Melton (C),4982.994391020528
KENSINGTON,24600,Melbourne (C),24600,1372,2759,4028,69,2018,15254,3418,26900,24600,169961,Melbourne (C),15827.16034855055
KERRIE,24130,Macedon Ranges (S),24130,54,231,287,6,2018,869,79,1526,24130,49388,Macedon Ranges (S),3089.8193893253424
KERRISDALE,25620,Murrindindi (S),25620,41,49,116,3,2018,289,37,535,25620,14478,Murrindindi (S),3695.261776488465
KEW,21110,Boroondara (C),21110,163,353,594,10,2018,4339,171,5630,21110,181289,Boroondara (C),3105.538670299908
KEW EAST,21110,Boroondara (C),21110,163,353,594,10,2018,4339,171,5630,21110,181289,Boroondara (C),3105.538670299908
KEYSBOROUGH,22670,Greater Dandenong (C),22670,716,1861,2465,26,2018,7422,1136,13626,22670,166094,Greater Dandenong (C),8203.788216311244
KILMORE,24850,Mitchell (S),24850,173,466,678,6,2018,1510,209,3042,24850,44299,Mitchell (S),6866.972166414592
KILMORE EAST,24850,Mitchell (S),24850,173,466,678,6,2018,1510,209,3042,24850,44299,Mitchell (S),6866.972166414592
KILSYTH,27450,Yarra Ranges (S),27450,232,835,1088,22,2018,3030,302,5509,27450,158173,Yarra Ranges (S),3482.8953108305464
KILSYTH SOUTH,24410,Maroondah (C),24410,177,1104,931,5,2018,3282,387,5886,24410,117498,Maroondah (C),5009.446969310116
KINGLAKE,25620,Murrindindi (S),25620,41,49,116,3,2018,289,37,535,25620,14478,Murrindindi (S),3695.261776488465
KINGLAKE CENTRAL,25620,Murrindindi (S),25620,41,49,116,3,2018,289,37,535,25620,14478,Murrindindi (S),3695.261776488465
KINGLAKE WEST,25620,Murrindindi (S),25620,41,49,116,3,2018,289,37,535,25620,14478,Murrindindi (S),3695.261776488465
KINGS PARK,21180,Brimbank (C),21180,597,1681,2412,23,2018,8153,684,13550,21180,208714,Brimbank (C),6492.137566238967
KINGSBURY,21890,Darebin (C),21890,254,1005,1231,14,2018,8538,382,11424,21890,161609,Darebin (C),7068.9132412180015
KNOXFIELD,23670,Knox (C),23670,519,982,1198,15,2018,5329,471,8514,23670,163203,Knox (C),5216.815867355379
KINGSVILLE,24330,Maribyrnong (C),24330,200,491,777,12,2018,4738,364,6582,24330,91387,Maribyrnong (C),7202.33731274689
KONGWAK,26170,South Gippsland (S),26170,37,198,245,3,2018,481,47,1011,26170,29576,South Gippsland (S),3418.312144982418
KOO WEE RUP,21450,Cardinia (S),21450,197,465,758,14,2018,2604,239,4277,21450,107120,Cardinia (S),3992.718446601942
KOO WEE RUP NORTH,21450,Cardinia (S),21450,197,465,758,14,2018,2604,239,4277,21450,107120,Cardinia (S),3992.718446601942
KOROBEIT,25150,Moorabool (S),25150,54,225,341,4,2018,1122,77,1823,25150,34158,Moorabool (S),5336.963522454476
KORUMBURRA,26170,South Gippsland (S),26170,37,198,245,3,2018,481,47,1011,26170,29576,South Gippsland (S),3418.312144982418
KORUMBURRA SOUTH,26170,South Gippsland (S),26170,37,198,245,3,2018,481,47,1011,26170,29576,South Gippsland (S),3418.312144982418
KROWERA,26170,South Gippsland (S),26170,37,198,245,3,2018,481,47,1011,26170,29576,South Gippsland (S),3418.312144982418
AIRPORT WEST,25060,Moonee Valley (C),25060,223,661,845,13,2018,4586,370,6698,25060,127883,Moonee Valley (C),5237.599993744282
KYNETON,24130,Macedon Ranges (S),24130,54,231,287,6,2018,869,79,1526,24130,49388,Macedon Ranges (S),3089.8193893253424
MILL PARK,27070,Whittlesea (C),27070,329,1217,2115,11,2018,7361,318,11351,27070,223322,Whittlesea (C),5082.795246325933
KYNETON SOUTH,24130,Macedon Ranges (S),24130,54,231,287,6,2018,869,79,1526,24130,49388,Macedon Ranges (S),3089.8193893253424
LABERTOUCHE,20830,Baw Baw (S),20830,125,433,627,17,2018,1561,167,2930,20830,52015,Baw Baw (S),5632.990483514371
LAKE EILDON,24250,Mansfield (S),24250,17,37,73,8,2018,271,47,453,24250,8979,Mansfield (S),5045.105245573004
LALOR,27070,Whittlesea (C),27070,329,1217,2115,11,2018,7361,318,11351,27070,223322,Whittlesea (C),5082.795246325933
LANCEFIELD,24130,Macedon Ranges (S),24130,54,231,287,6,2018,869,79,1526,24130,49388,Macedon Ranges (S),3089.8193893253424
LANGWARRIN,22170,Frankston (C),22170,516,2004,1606,14,2018,5771,816,10727,22170,141845,Frankston (C),7562.480172018753
LANGWARRIN SOUTH,22170,Frankston (C),22170,516,2004,1606,14,2018,5771,816,10727,22170,141845,Frankston (C),7562.480172018753
LANG LANG,21450,Cardinia (S),21450,197,465,758,14,2018,2604,239,4277,21450,107120,Cardinia (S),3992.718446601942
LANG LANG EAST,21450,Cardinia (S),21450,197,465,758,14,2018,2604,239,4277,21450,107120,Cardinia (S),3992.718446601942
LANGLEY,25430,Mount Alexander (S),25430,36,139,113,3,2018,396,49,736,25430,19514,Mount Alexander (S),3771.6511222711897
LARA,22750,Greater Geelong (C),22750,507,1874,2481,26,2018,11158,902,16948,22750,252217,Greater Geelong (C),6719.6104941379845
LARDNER,20830,Baw Baw (S),20830,125,433,627,17,2018,1561,167,2930,20830,52015,Baw Baw (S),5632.990483514371
LAUNCHING PLACE,27450,Yarra Ranges (S),27450,232,835,1088,22,2018,3030,302,5509,27450,158173,Yarra Ranges (S),3482.8953108305464
LAURISTON,24130,Macedon Ranges (S),24130,54,231,287,6,2018,869,79,1526,24130,49388,Macedon Ranges (S),3089.8193893253424
LAVERTON,23110,Hobsons Bay (C),23110,117,456,754,21,2018,3218,261,4827,23110,96470,Hobsons Bay (C),5003.628070902872
LAVERTON NORTH,27260,Wyndham (C),27260,368,1235,1949,12,2018,6741,511,10816,27260,255322,Wyndham (C),4236.219362217122
LEONGATHA SOUTH,26170,South Gippsland (S),26170,37,198,245,3,2018,481,47,1011,26170,29576,South Gippsland (S),3418.312144982418
LEOPOLD,22750,Greater Geelong (C),22750,507,1874,2481,26,2018,11158,902,16948,22750,252217,Greater Geelong (C),6719.6104941379845
LERDERDERG,25150,Moorabool (S),25150,54,225,341,4,2018,1122,77,1823,25150,34158,Moorabool (S),5336.963522454476
LILYDALE,27450,Yarra Ranges (S),27450,232,835,1088,22,2018,3030,302,5509,27450,158173,Yarra Ranges (S),3482.8953108305464
LIMESTONE,25620,Murrindindi (S),25620,41,49,116,3,2018,289,37,535,25620,14478,Murrindindi (S),3695.261776488465
LITTLE RIVER,22750,Greater Geelong (C),22750,507,1874,2481,26,2018,11158,902,16948,22750,252217,Greater Geelong (C),6719.6104941379845
LOCH,26170,South Gippsland (S),26170,37,198,245,3,2018,481,47,1011,26170,29576,South Gippsland (S),3418.312144982418
LONG FOREST,25150,Moorabool (S),25150,54,225,341,4,2018,1122,77,1823,25150,34158,Moorabool (S),5336.963522454476
LONGWARRY,20830,Baw Baw (S),20830,125,433,627,17,2018,1561,167,2930,20830,52015,Baw Baw (S),5632.990483514371
LOVELY BANKS,22750,Greater Geelong (C),22750,507,1874,2481,26,2018,11158,902,16948,22750,252217,Greater Geelong (C),6719.6104941379845
LOWER PLENTY,20660,Banyule (C),20660,193,1467,882,11,2018,4543,276,7372,20660,130237,Banyule (C),5660.449795373051
LONGWARRY NORTH,20830,Baw Baw (S),20830,125,433,627,17,2018,1561,167,2930,20830,52015,Baw Baw (S),5632.990483514371
BARRYS REEF,25150,Moorabool (S),25150,54,225,341,4,2018,1122,77,1823,25150,34158,Moorabool (S),5336.963522454476
LYNDHURST,22670,Greater Dandenong (C),22670,716,1861,2465,26,2018,7422,1136,13626,22670,166094,Greater Dandenong (C),8203.788216311244
LYNBROOK,21610,Casey (C),21610,572,1637,3076,15,2018,8883,577,14760,21610,340419,Casey (C),4335.833193799406
LYSTERFIELD,27450,Yarra Ranges (S),27450,232,835,1088,22,2018,3030,302,5509,27450,158173,Yarra Ranges (S),3482.8953108305464
LYSTERFIELD SOUTH,21610,Casey (C),21610,572,1637,3076,15,2018,8883,577,14760,21610,340419,Casey (C),4335.833193799406
MACCLESFIELD,27450,Yarra Ranges (S),27450,232,835,1088,22,2018,3030,302,5509,27450,158173,Yarra Ranges (S),3482.8953108305464
MACEDON,24130,Macedon Ranges (S),24130,54,231,287,6,2018,869,79,1526,24130,49388,Macedon Ranges (S),3089.8193893253424
