name,count,log_scores,crime_rate
MELBOURNE,8148,1.2091,15827.16034855055
SOUTH YARRA,879,1.0296,6899.756469059524
BALWYN NORTH,86,0.9808,3105.538670299908
SOUTHBANK,1434,1.1777,15827.16034855055
ASHWOOD,53,2.0698,4140.40594371167
BELGRAVE SOUTH,41,0.4055,3482.8953108305464
WEST MELBOURNE,275,1.1987,15827.16034855055
DANDENONG NORTH,214,0.4656,8203.788216311244
GREENSBOROUGH,227,0.3567,5660.449795373051
KENSINGTON,203,-2.4002,15827.16034855055
BEAUMARIS,96,-2.7936,3643.655763446149
NEWPORT,127,1.8718,5003.628070902872
WERRIBEE,302,0.5213,4236.219362217122
RICHMOND,956,0.7531,10769.277615939747
PEARCEDALE,59,0.2763,4335.833193799406
ST KILDA,1334,0.6931,8653.710247349823
ALPHINGTON,65,1.1451,10769.277615939747
DIAMOND CREEK,68,1.0498,2762.507506813877
DIXONS CREEK,9,0.6931,3482.8953108305464
WILLIAMSTOWN,233,1.3218,5003.628070902872
MITCHAM,131,0.4999,3685.6682331040433
CLAYTON SOUTH,241,0.8267,4865.661961317009
NIDDRIE,82,0.619,5237.599993744282
CAULFIELD NORTH,429,0.2476,3399.888208607937
CLAYTON,325,0.8961,4140.40594371167
ELTHAM,116,0.5108,2762.507506813877
MOUNT DANDENONG,11,1.6094,3482.8953108305464
BAXTER,18,1.3863,7562.480172018753
DOCKLANDS,1008,1.0943,15827.16034855055
NORTHCOTE,402,0.5623,7068.9132412180015
PRAHRAN,565,1.3278,6899.756469059524
BRUNSWICK EAST,255,0.9019,6045.398266611638
PARKVILLE,442,0.9869,15827.16034855055
YARRAVILLE,262,0.7622,7202.33731274689
DONCASTER,135,0.5781,2924.116390987029
PRESTON,423,0.7868,7068.9132412180015
CHELTENHAM,308,0.7932,4865.661961317009
HOPPERS CROSSING,411,0.7514,4236.219362217122
FRANKSTON,415,0.6309,7562.480172018753
UPWEY,34,0.9808,3482.8953108305464
BRAYBROOK,89,0.6931,7202.33731274689
NORTH MELBOURNE,401,-3.3668,15827.16034855055
ALTONA NORTH,143,0.3895,5003.628070902872
WANTIRNA SOUTH,231,0.8437,5216.815867355379
WINDSOR,307,1.1436,6899.756469059524
CARLTON,839,0.6302,15827.16034855055
HAWTHORN,694,0.7138,3105.538670299908
LARA,104,0.6568,6719.6104941379845
SYDENHAM,73,-0.1698,6492.137566238967
BRIGHTON,347,1.1214,3643.655763446149
NARRE WARREN EAST,3,1.0986,3482.8953108305464
PORT MELBOURNE,356,1.4816,15827.16034855055
NARRE WARREN SOUTH,114,0.4626,4335.833193799406
IVANHOE EAST,9,1.2528,5660.449795373051
LAVERTON,235,1.1314,5003.628070902872
MOUNT WAVERLEY,272,1.1093,4140.40594371167
IVANHOE,72,1.2528,5660.449795373051
THOMASTOWN,379,0.6617,5082.795246325933
CLIFTON HILL,120,1.1727,10769.277615939747
CARNEGIE,133,0.7691,3399.888208607937
FITZROY,964,0.8028,10769.277615939747
MELBOURNE AIRPORT,667,0.6419,6817.47283795467
GLEN IRIS,175,0.7147,3105.538670299908
MALVERN,214,1.6917,6899.756469059524
HEATHERTON,12,0.0,4865.661961317009
FAIRFIELD,57,0.8473,10769.277615939747
ALBERT PARK,207,1.3157,8653.710247349823
TOORAK,265,0.7151,6899.756469059524
SUNSHINE NORTH,68,2.539,6492.137566238967
BRUNSWICK,798,0.5315,6045.398266611638
SOUTH MELBOURNE,561,1.2958,8653.710247349823
HUNTINGDALE,6,1.0986,4140.40594371167
BRIGHTON EAST,363,0.2744,3643.655763446149
HILLSIDE,226,0.7641,4982.994391020528
ST KILDA WEST,86,0.3567,8653.710247349823
ASCOT VALE,175,0.9163,5237.599993744282
FITZROY NORTH,327,0.6251,10769.277615939747
BAYSWATER,179,0.6678,5216.815867355379
CHIRNSIDE PARK,134,0.9163,3482.8953108305464
NARRE WARREN,158,0.6257,4335.833193799406
MCKINNON,103,1.453,3399.888208607937
COLLINGWOOD,467,1.0532,10769.277615939747
BOX HILL,159,0.4136,3685.6682331040433
MENZIES CREEK,4,0.6931,3482.8953108305464
ALTONA,175,1.1331,5003.628070902872
EPPING,279,0.5898,5082.795246325933
FERNTREE GULLY,261,0.7927,5216.815867355379
CAMPBELLFIELD,39,0.8473,6817.47283795467
CRAIGIEBURN,308,0.9462,6817.47283795467
OAKLEIGH,94,0.5878,4140.40594371167
MENTONE,174,0.5031,4865.661961317009
CHELSEA,62,0.47,4865.661961317009
PASCOE VALE,108,0.452,6045.398266611638
NOBLE PARK,205,0.7591,8203.788216311244
EAST MELBOURNE,702,0.8873,15827.16034855055
ROXBURGH PARK,89,1.9648,6817.47283795467
LILYDALE,66,0.636,3482.8953108305464
BLACKBURN NORTH,23,0.6931,3685.6682331040433
WERRIBEE SOUTH,57,1.4816,4236.219362217122
BRUNSWICK WEST,227,0.7885,6045.398266611638
FOREST HILL,77,0.8755,3685.6682331040433
KEW,210,0.8873,3105.538670299908
SOUTH MORANG,354,0.6144,5082.795246325933
KILSYTH,60,0.0,3482.8953108305464
DEER PARK,63,0.1625,6492.137566238967
SEDDON,82,0.0,7202.33731274689
YARRA JUNCTION,14,0.6931,3482.8953108305464
BUNDOORA,301,0.6036,5082.795246325933
RESERVOIR,392,0.2056,7068.9132412180015
RINGWOOD,239,0.9163,5009.446969310116
KEYSBOROUGH,215,0.7206,8203.788216311244
POINT COOK,333,0.6686,4236.219362217122
TARNEIT,209,0.9537,4236.219362217122
TAYLORS LAKES,183,0.821,6492.137566238967
MULGRAVE,217,0.0351,4140.40594371167
MAIDSTONE,150,0.7103,7202.33731274689
TEMPLESTOWE,82,0.0741,2924.116390987029
PRINCES HILL,54,1.2528,10769.277615939747
TULLAMARINE,101,0.4419,6817.47283795467
DONVALE,44,1.1451,2924.116390987029
GLEN WAVERLEY,339,0.6701,4140.40594371167
CAIRNLEA,32,1.0986,6492.137566238967
THORNBURY,260,0.6787,7068.9132412180015
CRANBOURNE WEST,79,0.6131,4335.833193799406
WESTMEADOWS,38,0.5108,6817.47283795467
MALVERN EAST,334,0.7329,6899.756469059524
BURWOOD EAST,88,0.7376,3685.6682331040433
MERNDA,276,0.6549,5082.795246325933
CARRUM DOWNS,261,0.7047,7562.480172018753
BROADMEADOWS,195,0.3438,6817.47283795467
KINGSVILLE,20,1.6094,7202.33731274689
PAKENHAM,279,0.5741,3992.718446601942
ROWVILLE,294,0.4947,5216.815867355379
HAMPTON,329,-0.4285,3643.655763446149
CROYDON HILLS,41,0.8303,5009.446969310116
DOVETON,69,0.7538,4335.833193799406
BLACKBURN,101,-0.0488,3685.6682331040433
HAWTHORN EAST,344,0.8473,3105.538670299908
WARRANDYTE,184,0.2329,2924.116390987029
FAWKNER,74,0.5878,6045.398266611638
HIGHETT,86,0.8602,3643.655763446149
COBURG NORTH,110,0.619,6045.398266611638
SUNBURY,515,0.4552,6817.47283795467
DOREEN,93,0.4925,2762.507506813877
MURRUMBEENA,57,0.6931,3399.888208607937
SUNSHINE WEST,413,0.5254,6492.137566238967
ENDEAVOUR HILLS,117,0.4796,4335.833193799406
WEST FOOTSCRAY,122,0.891,7202.33731274689
SPRINGVALE,93,0.2877,8203.788216311244
KNOXFIELD,57,0.6931,5216.815867355379
COBURG,232,0.55,6045.398266611638
SPRINGVALE SOUTH,71,0.6419,8203.788216311244
OFFICER,33,1.204,3992.718446601942
ELWOOD,263,0.5428,8653.710247349823
VIEWBANK,28,1.5405,5660.449795373051
DANDENONG,263,0.586,8203.788216311244
FRASER RISE,14,1.2528,4982.994391020528
MILL PARK,217,1.2068,5082.795246325933
RIDDELLS CREEK,36,0.0741,3089.8193893253424
BULLEEN,408,0.928,2924.116390987029
ST KILDA EAST,181,0.8565,8653.710247349823
WATSONIA,33,0.8873,5660.449795373051
FRANKSTON SOUTH,215,0.5293,7562.480172018753
HALLAM,72,0.6451,4335.833193799406
ESSENDON,254,0.5653,5237.599993744282
DELAHEY,47,0.1823,6492.137566238967
PANTON HILL,33,0.1823,2762.507506813877
RAVENHALL,22,1.2528,4982.994391020528
WOLLERT,77,0.8528,5082.795246325933
WHITTLESEA,18,0.7885,5082.795246325933
BROOKFIELD,83,0.08,4982.994391020528
PASCOE VALE SOUTH,96,1.1314,6045.398266611638
ALBANVALE,26,0.6931,6492.137566238967
CRANBOURNE,133,0.8842,4335.833193799406
HURSTBRIDGE,17,1.2993,2762.507506813877
LALOR,71,1.23,5082.795246325933
ALBION,27,1.0986,6492.137566238967
DINGLEY VILLAGE,66,1.2528,4865.661961317009
BORONIA,97,1.2685,5216.815867355379
NUNAWADING,47,1.8718,3685.6682331040433
MELTON WEST,41,1.6094,4982.994391020528
AVALON,21,1.5041,6719.6104941379845
FOOTSCRAY,439,0.9775,7202.33731274689
BERWICK,209,0.47,4335.833193799406
CAULFIELD EAST,178,0.6061,3399.888208607937
BEACONSFIELD,31,0.8109,3992.718446601942
ABBOTSFORD,360,1.2264,10769.277615939747
MACLEOD,134,0.6429,5660.449795373051
RESEARCH,20,0.0,2762.507506813877
HADFIELD,22,0.9163,6045.398266611638
KEW EAST,59,1.204,3105.538670299908
WANTIRNA,373,0.8979,5216.815867355379
RIPPONLEA,23,1.7047,8653.710247349823
UPPER FERNTREE GULLY,59,0.5978,5216.815867355379
BONBEACH,203,0.869,4865.661961317009
AIRPORT WEST,59,0.7885,5237.599993744282
BELLFIELD,12,0.3365,5660.449795373051
MOONEE PONDS,329,0.7608,5237.599993744282
EAGLEMONT,59,1.0578,5660.449795373051
CROYDON,98,0.8363,5009.446969310116
BALACLAVA,128,0.8824,8653.710247349823
MOOROOLBARK,295,0.6931,3482.8953108305464
DONCASTER EAST,158,0.821,2924.116390987029
GLENROY,131,0.398,6045.398266611638
LYNBROOK,28,0.9808,4335.833193799406
BLACKBURN SOUTH,86,1.2528,3685.6682331040433
WHEELERS HILL,133,0.3878,4140.40594371167
BAYSWATER NORTH,75,1.116,5009.446969310116
CAMBERWELL,243,0.3314,3105.538670299908
OAK PARK,40,0.47,6045.398266611638
BENTLEIGH,143,0.3054,3399.888208607937
CAROLINE SPRINGS,159,0.892,4982.994391020528
WALLAN,77,0.821,6866.972166414592
SUNSHINE,177,0.8708,6492.137566238967
STRATHMORE,67,0.4855,5237.599993744282
SOUTH WHARF,442,1.4586,15827.16034855055
MARIBYRNONG,205,0.4419,7202.33731274689
GISBORNE,70,0.2411,3089.8193893253424
BENTLEIGH EAST,201,1.0986,3399.888208607937
CARRUM,32,0.0,4865.661961317009
NARRE WARREN NORTH,29,0.6286,4335.833193799406
WARRANWOOD,55,0.4595,5009.446969310116
MIDDLE PARK,53,1.3863,8653.710247349823
BURNSIDE,24,-0.1178,4982.994391020528
SCORESBY,49,0.7802,5216.815867355379
CRANBOURNE NORTH,94,0.8383,4335.833193799406
BURWOOD,154,0.8777,3685.6682331040433
ALTONA MEADOWS,74,0.636,5003.628070902872
GLADSTONE PARK,49,1.0217,6817.47283795467
SILVAN,10,0.5596,3482.8953108305464
BOX HILL NORTH,61,1.4469,3685.6682331040433
CARLTON NORTH,210,1.1421,10769.277615939747
KEILOR DOWNS,42,0.6008,6492.137566238967
KEILOR EAST,167,0.5596,5237.599993744282
NORTH WARRANDYTE,18,1.6094,2762.507506813877
ROSANNA,49,1.0986,5660.449795373051
MELTON SOUTH,76,0.3677,4982.994391020528
ARMADALE,183,0.2719,6899.756469059524
VERMONT SOUTH,40,0.0,3685.6682331040433
OAKLEIGH SOUTH,29,0.47,4140.40594371167
SEAFORD,135,0.4896,7562.480172018753
ST ALBANS,107,0.9029,6492.137566238967
TECOMA,226,0.3075,3482.8953108305464
HEIDELBERG,109,0.2151,5660.449795373051
MOUNT ELIZA,167,0.865,7562.480172018753
BURNSIDE HEIGHTS,27,1.0296,4982.994391020528
GREENVALE,82,0.3857,6817.47283795467
SURREY HILLS,76,0.5596,3105.538670299908
MANOR LAKES,106,0.087,4236.219362217122
HAMPTON PARK,50,0.499,4335.833193799406
TAYLORS HILL,106,0.6931,4982.994391020528
CREMORNE,188,1.4469,10769.277615939747
VERMONT,92,1.0414,3685.6682331040433
GARDENVALE,11,-0.2877,3399.888208607937
BOTANIC RIDGE,54,0.4055,4335.833193799406
CROYDON NORTH,47,0.6061,5009.446969310116
FLEMINGTON,274,1.335,15827.16034855055
SPOTSWOOD,66,0.6931,5003.628070902872
WILLIAMSTOWN NORTH,18,0.4055,5003.628070902872
LANGWARRIN,81,1.0033,7562.480172018753
PATTERSON LAKES,46,2.0794,4865.661961317009
FRANKSTON NORTH,35,0.7376,7562.480172018753
BALWYN,87,0.9985,3105.538670299908
TRUGANINA,89,0.6691,4982.994391020528
BLACK ROCK,87,1.8718,3643.655763446149
ELTHAM NORTH,25,1.6094,2762.507506813877
ASPENDALE GARDENS,50,0.3857,4865.661961317009
MELTON,45,0.8473,4982.994391020528
BOX HILL SOUTH,34,0.6931,3685.6682331040433
KEALBA,16,0.619,6492.137566238967
KEILOR,32,0.5466,6492.137566238967
AVONDALE HEIGHTS,94,0.3483,5237.599993744282
MOORABBIN,106,0.8109,4865.661961317009
CANTERBURY,66,0.4055,3105.538670299908
ATTWOOD,27,0.636,6817.47283795467
WYNDHAM VALE,74,1.3863,4236.219362217122
DERRIMUT,87,0.6325,6492.137566238967
KALORAMA,5,1.0986,3482.8953108305464
COBBLEBANK,8,1.3863,4982.994391020528
ELSTERNWICK,117,1.204,3399.888208607937
GLEN HUNTLY,47,0.0,3399.888208607937
KEILOR LODGE,5,-1.0987,6492.137566238967
NOBLE PARK NORTH,32,1.6094,8203.788216311244
ABERFELDIE,50,0.7885,5237.599993744282
HEIDELBERG WEST,45,0.5108,5660.449795373051
OAKLEIGH EAST,47,0.9491,4140.40594371167
RINGWOOD EAST,46,0.2231,5009.446969310116
LOWER PLENTY,45,0.5108,5660.449795373051
CAULFIELD SOUTH,83,1.4214,3399.888208607937
BURNLEY,71,1.3863,10769.277615939747
SANDRINGHAM,45,0.9808,3643.655763446149
PARK ORCHARDS,65,1.754,2924.116390987029
CRANBOURNE SOUTH,9,1.0986,4335.833193799406
YARRAMBAT,16,0.6931,2762.507506813877
TEMPLESTOWE LOWER,92,0.2231,2924.116390987029
STRATHMORE HEIGHTS,4,0.0,5237.599993744282
ORMOND,85,0.7622,3399.888208607937
WOORI YALLOCK,1050,2.2225,3482.8953108305464
CLYDE NORTH,4,0.0,4335.833193799406
RINGWOOD NORTH,162,1.0986,5009.446969310116
BELGRAVE,263,-0.1388,3482.8953108305464
CLIFTON SPRINGS,36,0.6931,6719.6104941379845
MOUNT EVELYN,55,0.9555,3482.8953108305464
THE BASIN,11,1.3863,5216.815867355379
SOMERTON,12,1.6094,6817.47283795467
DEVON MEADOWS,47,1.204,4335.833193799406
PARKDALE,132,0.3677,4865.661961317009
HUGHESDALE,41,1.3863,4140.40594371167
PENTLAND HILLS,1,-0.6931,5336.963522454476
PLENTY,9,0.2877,2762.507506813877
GOWANBRAE,90,1.2164,6045.398266611638
KINGSBURY,19,0.2007,7068.9132412180015
WILLIAMS LANDING,30,0.47,4236.219362217122
SANDHURST,616,0.1279,7562.480172018753
BRIAR HILL,35,0.6931,5660.449795373051
LYSTERFIELD,141,2.0794,3482.8953108305464
SEAHOLME,19,0.4055,5003.628070902872
LITTLE RIVER,21,0.8473,6719.6104941379845
HEALESVILLE,103,1.7918,3482.8953108305464
KINGS PARK,28,0.8109,6492.137566238967
ASPENDALE,30,-0.47,4865.661961317009
BACCHUS MARSH,40,0.8473,5336.963522454476
HARKNESS,33,-0.4054,4982.994391020528
MERRIMU,2,-0.5108,5336.963522454476
YARRA GLEN,29,0.8473,3482.8953108305464
OLINDA,15,0.9163,3482.8953108305464
MEADOW HEIGHTS,32,1.6094,6817.47283795467
EDEN PARK,2,0.6931,5082.795246325933
MONT ALBERT,25,1.0986,3685.6682331040433
CHELSEA HEIGHTS,110,0.4353,4865.661961317009
HEATHMONT,26,0.0,5009.446969310116
DEANSIDE,3,0.6931,4982.994391020528
ST HELENA,5,1.0986,5660.449795373051
KURUNJANG,13,0.6931,4982.994391020528
MORDIALLOC,67,0.4055,4865.661961317009
MONTMORENCY,45,0.821,5660.449795373051
COOLAROO,42,0.7885,6817.47283795467
EUMEMMERRING,1,0.6931,4335.833193799406
NEW GISBORNE,2,0.6931,3089.8193893253424
MACCLESFIELD,7,0.0,3482.8953108305464
EYNESBURY,10,0.2877,4982.994391020528
DARLEY,14,0.6931,5336.963522454476
HEIDELBERG HEIGHTS,24,1.0986,5660.449795373051
MOORABBIN AIRPORT,9,-0.6931,4865.661961317009
CLARINDA,20,1.0116,4865.661961317009
ASHBURTON,41,0.0,3105.538670299908
SEABROOK,42,0.4055,5003.628070902872
MONTROSE,13,0.6931,3482.8953108305464
SOMERVILLE,38,0.6931,4335.833193799406
KOOYONG,28,1.2528,6899.756469059524
TARRAWARRA,2,0.6931,3482.8953108305464
KINGLAKE,4,0.6931,3695.261776488465
CLYDE,6,1.3863,4335.833193799406
CROYDON SOUTH,16,-0.4054,5009.446969310116
CRANBOURNE EAST,50,0.7885,4335.833193799406
CORIO,2,0.6931,6719.6104941379845
WATSONIA NORTH,17,0.9163,5660.449795373051
LYNDHURST,9,1.3863,8203.788216311244
TRAVANCORE,42,0.087,5237.599993744282
CHADSTONE,30,1.5041,4140.40594371167
SKYE,35,0.2877,7562.480172018753
WARRANDYTE SOUTH,4,0.6931,2924.116390987029
HAMPTON EAST,49,0.47,3643.655763446149
ESSENDON WEST,14,0.0,5237.599993744282
YALLAMBIE,27,0.9163,5660.449795373051
GISBORNE SOUTH,1,1.0986,3089.8193893253424
BEVERIDGE,13,0.5108,6866.972166414592
CAULFIELD,24,1.2528,3399.888208607937
EDITHVALE,27,1.2993,4865.661961317009
ESSENDON NORTH,27,0.9808,5237.599993744282
DALLAS,19,-0.1824,6817.47283795467
MONT ALBERT NORTH,17,0.4055,3685.6682331040433
ROCKBANK,3,-0.6931,4982.994391020528
WANDIN EAST,1,0.6931,3482.8953108305464
WATERWAYS,8,0.4055,4865.661961317009
CALDER PARK,12,1.3863,6492.137566238967
WONGA PARK,9,0.0,2924.116390987029
DEEPDENE,12,-0.6931,3105.538670299908
MONBULK,5,-0.6931,3482.8953108305464
GRUYERE,10,0.6931,3482.8953108305464
KEILOR PARK,17,0.4055,6492.137566238967
WATTLE GLEN,13,-0.9163,2762.507506813877
DANDENONG SOUTH,42,1.3863,8203.788216311244
BELGRAVE HEIGHTS,10,1.3863,3482.8953108305464
YELLINGBO,1,0.6931,3482.8953108305464
SHERBROOKE,6,0.0,3482.8953108305464
DRYSDALE,79,0.1823,6719.6104941379845
KILSYTH SOUTH,8,1.0986,5009.446969310116
SASSAFRAS,25,0.6931,3482.8953108305464
YERING,10,1.0986,3482.8953108305464
NOTTING HILL,19,0.4055,4140.40594371167
COLDSTREAM,34,0.6931,3482.8953108305464
BROOKLYN,16,1.0986,6492.137566238967
LYSTERFIELD SOUTH,1,0.2231,4335.833193799406
INDENTED HEAD,6,1.6094,6719.6104941379845
THE PATCH,3,0.6931,3482.8953108305464
DIGGERS REST,16,0.9808,4982.994391020528
EMERALD,23,1.0986,3992.718446601942
ARDEER,4,-0.4054,6492.137566238967
KALLISTA,4,-0.6931,3482.8953108305464
UPPER PLENTY,5,0.6931,6866.972166414592
PORTARLINGTON,12,1.0986,6719.6104941379845
LAVERTON NORTH,11,0.6931,4236.219362217122
WILDWOOD,3,0.6931,6817.47283795467
JACANA,4,-0.6931,6817.47283795467
BONNIE BROOK,2,-0.6931,4982.994391020528
HODDLES CREEK,2,0.0,3482.8953108305464
TOOLERN VALE,3,0.6931,4982.994391020528
MICKLEHAM,12,-0.3365,6817.47283795467
KINGLAKE WEST,10,-1.3863,3695.261776488465
ESSENDON FIELDS,25,0.6931,5237.599993744282
ST LEONARDS,36,0.0,6719.6104941379845
SEVILLE EAST,3,-0.6931,3482.8953108305464
BEACONSFIELD UPPER,4,0.6931,3992.718446601942
BRAESIDE,17,1.3863,4865.661961317009
BADGER CREEK,9,1.3863,3482.8953108305464
TREMONT,9,0.6931,3482.8953108305464
