hour,count,words
13,3368,"{'con': 666, 'ugh': 661, 'off': 643, 'ass': 469, 'fuck': 152, 'mean': 144, 'shit': 116, 'sly': 86, 'brat': 56, 'babe': 49, 'fat': 48, 'mess': 45, 'beat': 39, 'sick': 38, 'crazy': 32, 'con ': 31, 'bitch': 28, 'dick': 23, 'rude': 23, 'crap': 23, 'evil': 22, 'freak': 22, 'stupid': 21, 'beef': 21, 'shame': 18, 'ridiculous': 18, 'loser': 16, 'jealous': 14, 'dumb': 14, 'trouble': 14, 'arse': 14, 'ugly': 13, 'loser ': 13, 'shade': 11, 'ugly ': 11, 'vile': 10, 'slut': 8, 'nobody': 8, 'horrible': 8, 'disgusting': 7, 'beast': 7, 'pussy': 6, 'bastard': 6, 'liar': 6, 'nasty': 6, 'fake': 6, ' fool': 6, 'fool': 6, 'blind': 6, 'shut up': 5, 'Satan': 5, 'coward': 5, 'fuck off': 4, 'corrupt': 4, 'shitty ': 4, 'retard': 4, 'sneaky': 4, 'holy shit': 4, 'jail': 4, 'fuck you': 3, 'scam': 3, 'oldie': 3, 'moron': 3, 'dull': 3, 'prick': 3, 'butch': 3, 'murderer': 3, 'fuck it': 3, 'devil': 3, 'worthless': 2, 'whore': 2, 'motherfucker': 2, 'fucker': 2, 'smug': 2, 'bad thing': 2, 'jerk': 2, 'shameless': 2, 'crook': 2, 'terrorist': 2, 'spoiled': 2, 'petty': 2, 'perv': 2, 'fag': 2, 'posh': 2, 'rotter': 2, 'dumbass': 2, 'rapist': 2, 'bribe': 2, 'sucker': 2, 'in jail': 2, 'backlash': 1, 'robber': 1, 'gangster': 1, 'scapegoat': 1, 'puppets': 1, 'stupid things': 1, 'fraud': 1, 'nastu': 1, 'mediocre': 1, 'combative': 1, 'pawns': 1, 'vulture': 1, 'hitman': 1, 'brainwash': 1, 'shut the hell up': 1, 'pedophile': 1, 'whining': 1, 'damned ': 1, 'go crazy': 1, 'miserable': 1, 'fucking ugly': 1, 'thug': 1, 'ignorant': 1, 'dork': 1, 'selfish': 1, 'poor man': 1, 'to piss off': 1, 'spineless': 1, 'leftist': 1, 'big bitch': 1, 'piece of shit': 1, 'yikes': 1}"
14,3391,"{'off': 636, 'con': 634, 'ugh': 629, 'ass': 498, 'fuck': 164, 'mean': 158, 'shit': 133, 'sly': 90, 'babe': 80, 'brat': 62, 'beat': 42, 'fat': 40, 'crap': 35, 'con ': 33, 'crazy': 33, 'mess': 32, 'sick': 30, 'evil': 28, 'bitch': 25, 'stupid': 25, 'rude': 24, 'freak': 22, 'beef': 21, 'dick': 20, 'arse': 18, 'jealous': 17, 'dumb': 16, 'shame': 16, 'loser': 14, 'fake': 11, 'loser ': 11, 'ridiculous': 11, 'liar': 10, 'ugly': 10, 'fool': 10, 'trouble': 10, ' fool': 9, 'blind': 9, 'disgusting': 8, 'thug': 8, 'beast': 8, 'vile': 7, 'bastard': 7, 'horrible': 7, 'nasty': 7, 'ugly ': 7, 'fuck off': 7, 'shade': 7, 'fuck you': 7, 'damned ': 6, 'nobody': 6, 'frustrated': 5, 'fucker': 5, 'terrorist': 5, 'devil': 5, 'pussy': 5, 'despise': 4, 'fag': 4, 'moron': 4, 'jail': 4, 'fuck it': 4, 'sneaky': 4, 'prick': 4, 'jerk': 4, 'shut up': 4, 'holy shit': 4, 'smug': 4, 'faggot': 3, 'shitty ': 3, 'oldie': 3, 'retard': 3, 'selfish': 3, 'asshole': 3, 'sucker': 3, 'slut': 3, 'get fucked': 3, 'perv': 3, 'yikes': 3, 'ignorant': 2, 'corrupt': 2, 'scam': 2, 'piece of shit': 2, 'fraud': 2, 'go to hell': 2, 'gangster': 2, 'crook': 2, 'in jail': 2, 'cynical': 2, 'rotter': 2, 'miserable': 2, 'imbecile': 2, 'dork': 2, 'dumbass': 1, 'dull': 1, 'thief': 1, 'stupid things': 1, 'brainwash': 1, 'abnormal': 1, 'holy fuck': 1, 'manipulator': 1, 'cuckoo': 1, 'drop dead': 1, 'viper': 1, 'murderer': 1, 'discard ': 1, 'bad thing': 1, 'tabloid': 1, 'rotten': 1, 'white trash': 1, 'rapist': 1, 'dumb shit': 1, 'drug dealer': 1, 'spoiled': 1, 'horrendous': 1, 'petty': 1, 'infamy': 1, 'immoral': 1, 'prude': 1, 'motherfucker': 1, 'whining': 1, 'nose in': 1, 'coward': 1, 'commie': 1, 'reckless': 1, 'butch': 1}"
15,3230,"{'con': 615, 'off': 606, 'ugh': 601, 'ass': 472, 'fuck': 166, 'shit': 152, 'mean': 111, 'babe': 82, 'sly': 68, 'beat': 51, 'brat': 49, 'con ': 49, 'fat': 42, 'sick': 37, 'crazy': 37, 'mess': 33, 'stupid': 30, 'bitch': 30, 'freak': 27, 'crap': 22, 'rude': 20, 'evil': 19, 'jealous': 17, 'ugly': 17, 'dick': 17, 'arse': 17, 'disgusting': 13, 'shade': 12, 'loser': 12, 'ugly ': 12, 'beef': 12, 'blind': 11, 'bastard': 10, 'ridiculous': 10, 'jail': 9, 'shame': 9, 'liar': 9, 'horrible': 9, 'beast': 9, 'slut': 9, 'dumb': 8, 'fag': 7, 'fake': 7, 'oldie': 7, 'fuck you': 7, 'trouble': 7, 'fucker': 7, 'perv': 7, 'holy shit': 7, 'fuck off': 6, 'loser ': 6, 'selfish': 6, 'sneaky': 6, ' fool': 6, 'fool': 6, 'shitty ': 5, 'nobody': 5, 'sucker': 5, 'shut up': 5, 'vile': 5, 'fuck it': 4, 'crook': 4, 'moron': 4, 'devil': 4, 'asshole': 4, 'scam': 4, 'frustrated': 4, 'Satan': 4, 'dork': 4, 'coward': 3, 'dull': 3, 'retard': 3, 'prick': 3, 'ignorant': 3, 'corrupt': 3, 'yuck': 3, 'nasty': 3, 'jerk': 3, 'Useless': 3, 'suck it': 2, 'rotten': 2, 'backlash': 2, 'terrorist': 2, 'mafia': 2, 'butch': 2, 'miserable': 2, 'piece of shit': 2, 'trash talking': 2, 'thug': 2, 'spoiled': 2, 'faggot': 2, 'nastu': 2, 'white trash': 2, 'posh': 2, 'scumbag': 2, 'motherfucker': 2, 'rapist': 2, 'pussy': 2, 'obnoxious': 2, 'imbecile': 2, 'traitor': 2, 'barf': 1, 'whore': 1, 'abject': 1, 'brainwash': 1, 'damned ': 1, 'smug': 1, 'hitman': 1, 'go crazy': 1, 'cynical': 1, 'robber': 1, 'fucking annoying': 1, 'toilet paper ': 1, 'bad thing': 1, 'abnormal': 1, 'manipulator': 1, 'petty': 1, 'despicable': 1, 'in jail': 1, 'stupid things': 1, 'wretched': 1, 'horrendous': 1, 'obnoxious ': 1, 'pawns': 1, 'whining': 1, 'yikes': 1, 'piece of garbage': 1, 'murderer': 1}"
16,3286,"{'ugh': 653, 'con': 589, 'off': 581, 'ass': 479, 'fuck': 174, 'mean': 138, 'shit': 110, 'sly': 69, 'brat': 63, 'sick': 57, 'fat': 52, 'babe': 50, 'beat': 43, 'crazy': 42, 'mess': 41, 'dick': 34, 'bitch': 33, 'evil': 31, 'con ': 28, 'freak': 25, 'stupid': 23, 'loser': 20, 'crap': 18, 'loser ': 16, 'dumb': 16, 'rude': 16, 'shame': 15, 'bastard': 15, 'beef': 14, 'shade': 13, 'fake': 13, 'blind': 13, 'trouble': 12, 'ugly': 12, 'ugly ': 11, 'horrible': 11, 'ridiculous': 10, 'fool': 10, 'vile': 9, 'arse': 9, 'devil': 7, 'dull': 6, 'fuck off': 6, 'fag': 6, ' fool': 6, 'scam': 6, 'jealous': 6, 'fuck you': 6, 'fucker': 6, 'nobody': 6, 'moron': 6, 'shut up': 6, 'prick': 5, 'jail': 5, 'liar': 5, 'whore': 5, 'disgusting': 5, 'corrupt': 5, 'dork': 4, 'butch': 4, 'sneaky': 4, 'nasty': 4, 'slut': 4, 'posh': 4, 'perv': 4, 'miserable': 4, 'beast': 4, 'ignorant': 3, 'Satan': 3, 'asshole': 3, 'rapist': 3, 'crook': 3, 'fuck it': 3, 'cheater': 3, 'jerk': 3, 'yuck': 3, 'reckless': 3, 'thug': 3, 'terrorist': 3, 'coward': 3, 'obnoxious': 3, 'rotten': 3, 'obnoxious ': 2, 'fraud': 2, 'pawns': 2, 'thief': 2, 'frustrated': 2, 'puppets': 2, 'scumbag': 2, 'faggot': 2, 'drug dealer': 2, 'scam ': 2, 'rotter': 2, 'sucker': 2, 'go crazy': 2, 'holy shit': 1, 'retard': 1, 'gangster': 1, 'spoiled': 1, 'bad blood': 1, 'brainwash': 1, 'holy fuck': 1, 'mafia': 1, 'tyrant': 1, 'selfish': 1, 'scamming': 1, 'scammer': 1, 'cynical': 1, 'freaked out': 1, 'cuckoo': 1, 'immoral': 1, 'worthless': 1, 'stupid things': 1, 'fucking annoying': 1, 'suck it': 1, 'shameless': 1, 'wretched': 1, 'shut the hell up': 1, 'toilet paper ': 1, 'sleazy': 1, 'piece of shit ': 1, 'piece of shit': 1, 'smug': 1, 'in jail': 1, 'Useless': 1, 'unbearable': 1, 'nose in': 1, 'scapegoat': 1, 'phoney': 1, 'white trash': 1, 'horrendous': 1, 'damned ': 1, 'you rat': 1, 'get fucked': 1, 'bad thing': 1, 'stupid people': 1, 'shitty ': 1, 'abnormal': 1}"
17,3453,"{'ugh': 670, 'con': 628, 'off': 555, 'ass': 503, 'fuck': 226, 'mean': 148, 'shit': 128, 'sly': 93, 'sick': 59, 'fat': 56, 'brat': 54, 'babe': 49, 'mess': 42, 'beat': 42, 'stupid': 38, 'crazy': 36, 'con ': 34, 'bitch': 34, 'evil': 29, 'crap': 24, 'loser': 23, 'loser ': 20, 'dumb': 20, 'rude': 19, 'dick': 17, 'freak': 17, 'fool': 17, 'shame': 16, 'liar': 15, ' fool': 15, 'ridiculous': 14, 'dork': 12, 'arse': 12, 'trouble': 12, 'fuck you': 11, 'fuck off': 10, 'blind': 10, 'ugly': 10, 'slut': 10, 'nobody': 9, 'vile': 9, 'jealous': 9, 'shade': 9, 'beef': 8, 'jail': 8, 'Satan': 8, 'shitty ': 7, 'whore': 7, 'disgusting': 7, 'ugly ': 7, 'devil': 7, 'scam': 6, 'fag': 6, 'asshole': 6, 'fucker': 6, 'fake': 6, 'bastard': 5, 'oldie': 5, 'beast': 5, 'shut up': 5, 'pussy': 5, 'terrorist': 5, 'nasty': 5, 'prick': 5, 'sneaky': 5, 'moron': 5, 'miserable': 5, 'crook': 5, 'motherfucker': 5, 'horrible': 5, 'dull': 4, 'butch': 4, 'smug': 4, 'scumbag': 4, 'reckless': 3, 'frustrated': 3, 'get fucked': 3, 'perv': 3, 'fuck it': 3, 'holy shit': 3, 'jerk': 3, 'coward': 3, 'go crazy': 3, 'yuck': 3, 'imbecile': 2, 'selfish': 2, 'bad thing': 2, 'sucker': 2, 'murderer': 2, 'retard': 2, 'sheeps': 2, 'piece of shit': 2, 'spoiled': 2, 'corrupt': 2, 'in jail': 2, 'faggot': 2, 'gangster': 2, 'mafia': 2, 'phoney': 2, 'little brat': 2, 'worthless': 1, 'misogynist ': 1, 'sleazy': 1, 'troublemaker': 1, 'stupid people': 1, 'drop dead': 1, 'toilet paper ': 1, 'bribe': 1, 'posh': 1, 'batshit crazy': 1, 'loathsome': 1, 'thug': 1, 'mind your own business': 1, 'scam ': 1, 'unbearable': 1, 'damned ': 1, 'horrendous': 1, 'ignorant': 1, 'piece of shit ': 1, 'dishonest': 1, 'petty': 1, 'cynical': 1, 'trashbag': 1, 'ungly': 1, 'abject': 1, 'poor man': 1, 'white trash': 1, 'despicable': 1, 'mediocre': 1, 'fucking annoying': 1, 'wimp': 1}"
18,3687,"{'ugh': 742, 'con': 681, 'ass': 527, 'off': 524, 'fuck': 215, 'mean': 166, 'shit': 148, 'sly': 104, 'brat': 96, 'beat': 48, 'mess': 45, 'fat': 43, 'babe': 42, 'sick': 40, 'crap': 36, 'crazy': 35, 'bitch': 33, 'loser': 33, 'dick': 31, 'evil': 27, 'con ': 27, 'freak': 26, 'loser ': 24, 'stupid': 24, 'beef': 22, 'arse': 21, 'dumb': 21, 'rude': 20, 'shame': 19, 'trouble': 18, 'ridiculous': 15, 'jealous': 13, 'bastard': 13, 'shade': 12, 'fool': 12, 'terrorist': 11, 'dork': 11, 'Satan': 11, 'liar': 11, 'oldie': 11, 'fake': 10, ' fool': 10, 'vile': 9, 'beast': 9, 'moron': 9, 'blind': 9, 'horrible': 9, 'nobody': 8, 'ugly': 8, 'holy shit': 8, 'nasty': 7, 'jerk': 7, 'shitty ': 6, 'miserable': 6, 'sneaky': 6, 'devil': 5, 'scam': 5, 'ignorant': 5, 'selfish': 5, 'fag': 5, 'prick': 5, 'fuck you': 5, 'thug': 4, 'slut': 4, 'jail': 4, 'shut up': 4, 'ugly ': 4, 'pussy': 4, 'corrupt': 4, 'mafia': 4, 'disgusting': 3, 'fraud': 3, 'rotten': 3, 'asshole': 3, 'perv': 3, 'bad thing': 3, 'reckless': 3, 'frustrated': 3, 'rapist': 3, 'troublemaker': 3, 'cynical': 3, 'whore': 3, 'butch': 3, 'dishonest': 3, 'coward': 3, 'robber': 2, 'despise': 2, 'freaked out': 2, 'piece of shit': 2, 'suck it': 2, 'crook': 2, 'murderer': 2, 'holy fuck': 2, 'faggot': 2, 'posh': 2, 'scammer': 2, 'sucker': 2, 'leftist': 2, 'horrendous': 2, 'petty': 2, 'talking shit': 1, 'fuck off': 1, 'dull': 1, 'bribe': 1, 'get fucked': 1, 'brawler': 1, 'piece of shit ': 1, 'nosed in': 1, 'poor woman': 1, 'it girl': 1, 'vandalism': 1, 'scumbag': 1, 'wimp': 1, 'fucking annoying': 1, 'drug dealer': 1, 'nastu': 1, 'retard': 1, 'obnoxious': 1, 'puppets': 1, 'smug': 1, 'backlash': 1, 'tabloid': 1, 'white collar': 1, 'lock him up': 1, 'dumbass': 1, 'fucker': 1, 'pawns': 1, 'thief': 1, ' scammer': 1, 'scam ': 1, 'barf': 1, 'sheeps': 1, 'drop dead': 1, 'traitor ': 1, 'traitor': 1, 'easy life': 1, 'dumb shit': 1, 'ungly': 1}"
19,3769,"{'con': 720, 'ugh': 668, 'off': 530, 'ass': 510, 'fuck': 230, 'shit': 173, 'mean': 166, 'sly': 96, 'brat': 85, 'babe': 65, 'fat': 61, 'beat': 57, 'sick': 56, 'bitch': 51, 'mess': 48, 'crazy': 44, 'crap': 38, 'loser': 37, 'evil': 37, 'con ': 35, 'stupid': 32, 'dick': 30, 'loser ': 28, 'shame': 27, 'freak': 25, 'rude': 25, 'beef': 22, 'arse': 21, 'liar': 18, 'nobody': 18, 'dumb': 17, 'fake': 17, 'disgusting': 15, 'trouble': 14, 'jealous': 11, 'ridiculous': 11, 'fool': 11, 'ugly': 10, ' fool': 10, 'whore': 10, 'bastard': 9, 'fag': 9, 'shade': 8, 'holy shit': 8, 'crook': 8, 'perv': 7, 'fuck off': 7, 'beast': 7, 'Satan': 7, 'devil': 7, 'pussy': 7, 'horrible': 6, 'butch': 6, 'bad thing': 6, 'fucker': 6, 'moron': 6, 'shitty ': 6, 'ugly ': 6, 'blind': 6, 'vile': 5, 'slut': 5, 'smug': 5, 'terrorist': 5, 'jerk': 5, 'rotter': 5, 'dork': 5, 'rapist': 4, 'thug': 4, 'dull': 4, 'scam': 4, 'fuck it': 4, 'shut up': 4, 'sucker': 4, 'coward': 3, 'fuck you': 3, 'sneaky': 3, 'asshole': 3, 'oldie': 3, 'despise': 3, 'faggot': 3, 'prick': 3, 'you rat': 2, 'imbecile': 2, 'damned ': 2, 'piece of shit ': 2, 'piece of shit': 2, 'despicable': 2, 'retard': 2, 'scumbag': 2, 'hitman': 2, 'cynical': 2, 'fucking annoying': 2, 'yuck': 2, 'backlash': 2, 'horrendous': 2, 'white trash': 2, 'petty': 2, 'miserable': 2, 'rotten': 2, 'spineless': 1, 'dishonest': 1, 'robber': 1, 'juvie': 1, 'repulsive': 1, 'it girl': 1, 'abject': 1, 'troublemaker': 1, 'shameless': 1, 'drug dealer': 1, 'spoiled': 1, 'birds of a feather': 1, 'wimp': 1, 'thief': 1, 'get fucked': 1, 'nasty': 1, 'lock him up': 1, 'tabloid': 1, 'jail': 1, 'posh': 1, 'scam ': 1, 'motherfucker': 1, 'mafia': 1, 'degenerate': 1, 'brainwash': 1, 'immoral': 1, 'holy fuck': 1, 'frustrated': 1, 'viper': 1, 'corrupt': 1, 'talking shit': 1, 'yikes': 1, 'worthless': 1, 'stupid people': 1, 'fraud': 1, 'whiny': 1}"
20,4101,"{'ugh': 810, 'con': 751, 'ass': 624, 'off': 538, 'fuck': 248, 'shit': 175, 'mean': 163, 'sly': 102, 'brat': 86, 'fat': 68, 'crazy': 62, 'mess': 58, 'beat': 56, 'bitch': 54, 'sick': 53, 'babe': 52, 'con ': 50, 'crap': 42, 'dick': 38, 'stupid': 34, 'arse': 33, 'shame': 30, 'evil': 28, 'beef': 27, 'rude': 27, 'dumb': 27, 'freak': 24, 'fake': 22, 'loser': 20, 'jealous': 19, 'bastard': 19, 'shade': 19, 'ridiculous': 18, 'nobody': 16, 'loser ': 15, 'horrible': 14, 'trouble': 14, 'blind': 12, 'fuck off': 11, 'slut': 11, 'beast': 11, 'ugly': 10, 'liar': 10, 'fool': 10, 'nasty': 10, 'disgusting': 9, 'asshole': 9, 'fuck it': 8, 'terrorist': 8, 'ugly ': 8, ' fool': 8, 'shut up': 8, 'pussy': 7, 'dork': 7, 'fuck you': 7, 'fucker': 7, 'vile': 7, 'butch': 7, 'moron': 7, 'perv': 6, 'bad thing': 6, 'jail': 5, 'smug': 5, 'jerk': 5, 'holy shit': 5, 'dull': 5, 'ignorant': 5, 'oldie': 5, 'whore': 4, 'sucker': 4, 'crook': 4, 'corrupt': 4, 'yuck': 4, 'Satan': 4, 'shitty ': 4, 'white trash': 3, 'thug': 3, 'rotter': 3, 'prick': 3, 'selfish': 3, 'frustrated': 3, 'miserable': 3, 'retard': 3, 'devil': 3, 'damned ': 3, 'in jail': 2, 'fag': 2, 'thief': 2, 'sneaky': 2, 'mediocre': 2, 'holy fuck': 2, 'posh': 2, 'cheater': 2, 'motherfucker': 2, 'toilet paper ': 2, 'gangster': 2, 'piece of shit': 2, 'backlash': 1, 'cynical': 1, 'fucking annoying': 1, 'crass': 1, 'drop dead': 1, 'abnormal': 1, 'viper': 1, 'despicable': 1, 'bribe': 1, 'petty': 1, 'imbecile': 1, 'piece of shit ': 1, 'freaked out': 1, 'poor man': 1, 'drug dealer': 1, 'scumbag': 1, 'coward': 1, 'despise': 1, 'whining': 1, 'barf': 1, 'brainwash': 1, 'worthless': 1, 'rapist': 1, 'robber': 1, 'son of a bitch': 1, 'spoiled': 1, 'rotten': 1, 'reckless': 1, 'horrendous': 1, 'go crazy': 1, 'wimp': 1, 'madman': 1, 'Useless': 1}"
21,4315,"{'ugh': 858, 'con': 761, 'ass': 599, 'off': 522, 'fuck': 291, 'mean': 230, 'shit': 198, 'sly': 123, 'brat': 78, 'beat': 66, 'mess': 66, 'sick': 63, 'fat': 54, 'bitch': 53, 'babe': 50, 'loser': 49, 'crazy': 45, 'stupid': 42, 'dick': 40, 'con ': 40, 'loser ': 36, 'crap': 35, 'evil': 32, 'freak': 27, 'liar': 26, 'shame': 26, 'shade': 25, 'beef': 25, 'dumb': 22, 'arse': 22, 'fake': 21, 'rude': 21, 'trouble': 21, 'jealous': 16, 'blind': 15, 'ugly': 13, 'disgusting': 13, 'ridiculous': 13, 'beast': 12, 'fucker': 12, 'vile': 12, 'horrible': 11, 'perv': 10, 'fuck off': 10, 'shut up': 10, 'dork': 10, 'jail': 10, 'sneaky': 9, 'asshole': 9, 'ugly ': 9, 'terrorist': 9, 'corrupt': 8, 'devil': 8, 'dull': 8, 'slut': 7, 'moron': 7, 'thug': 7, 'nobody': 7, 'smug': 6, 'fuck you': 6, ' fool': 6, 'fool': 6, 'butch': 6, 'Satan': 5, 'fag': 5, 'crook': 5, 'holy shit': 5, 'oldie': 5, 'shitty ': 5, 'miserable': 5, 'prick': 5, 'piece of shit': 4, 'bastard': 4, 'frustrated': 4, 'fuck it': 4, 'jerk': 4, 'rapist': 3, 'spoiled': 3, 'sucker': 3, 'scam': 3, 'faggot': 3, 'retard': 3, 'in jail': 3, 'rotter': 3, 'obnoxious': 3, 'brainwash': 3, 'bad thing': 3, 'nasty': 3, 'get fucked': 2, 'cynical': 2, 'murderer': 2, 'whore': 2, 'despicable': 2, 'it girl': 2, 'selfish': 2, 'scam ': 2, 'suck a dick': 2, 'thief': 2, 'stupid people': 2, 'coward': 2, 'puppets': 2, 'motherfucker': 2, 'horrendous': 2, 'prude': 2, 'yuck': 2, 'worthless': 2, 'abnormal': 2, 'damned ': 2, 'drug dealer': 1, 'tabloid': 1, 'vulture': 1, 'imbecile': 1, 'sordid': 1, 'go to hell': 1, 'obnoxious ': 1, 'dumbass': 1, 'freaked out': 1, 'whining': 1, 'brawler': 1, 'shameless': 1, 'batshit crazy': 1, 'scammer': 1, ' scammer': 1, 'piece of shit ': 1, 'ungly': 1, 'misogynist ': 1, 'scumbag': 1, 'turncoat': 1, 'Useless': 1, 'nose in': 1, 'go crazy': 1, 'sleazy': 1, 'shut the hell up': 1, 'pussy': 1, 'posh': 1, 'despise': 1, 'ignorant': 1, 'you rat': 1, 'gangster': 1, 'mafia': 1}"
22,4012,"{'ugh': 805, 'con': 731, 'ass': 461, 'off': 454, 'fuck': 282, 'shit': 242, 'mean': 224, 'sly': 108, 'brat': 81, 'fat': 67, 'mess': 64, 'sick': 57, 'babe': 56, 'loser': 52, 'beat': 52, 'crazy': 49, 'bitch': 43, 'loser ': 41, 'dick': 39, 'evil': 33, 'crap': 31, 'stupid': 30, 'con ': 30, 'shame': 29, 'fake': 29, 'rude': 24, 'liar': 23, 'dumb': 23, 'freak': 22, 'arse': 21, 'ridiculous': 20, 'vile': 18, 'trouble': 18, 'ugly': 16, 'jealous': 12, 'blind': 12, 'beef': 12, 'shade': 12, 'fucker': 11, 'fag': 11, 'ugly ': 11, 'fuck you': 10, 'corrupt': 10, 'fool': 10, 'terrorist': 9, 'nobody': 9, 'devil': 9, 'dull': 9, 'pussy': 9, 'slut': 8, 'horrible': 8, 'nasty': 8, ' fool': 8, 'oldie': 8, 'holy shit': 7, 'jail': 7, 'shut up': 7, 'retard': 7, 'beast': 7, 'shitty ': 7, 'moron': 7, 'fuck off': 6, 'perv': 6, 'rapist': 5, 'bad thing': 5, 'frustrated': 5, 'fuck it': 5, 'butch': 5, 'piece of shit': 5, 'prick': 5, 'bastard': 5, 'scumbag': 4, 'faggot': 4, 'motherfucker': 4, 'dork': 4, 'thug': 4, 'asshole': 4, 'ignorant': 4, 'smug': 4, 'jerk': 4, 'tabloid': 4, 'mafia': 4, 'Satan': 3, 'worthless': 3, 'piece of shit ': 3, 'posh': 3, 'gangster': 3, 'disgusting': 3, 'selfish': 3, 'puppets': 2, 'wimp': 2, 'whore': 2, 'talking shit': 2, 'despicable': 2, 'shameless': 2, 'murderer': 2, 'fraud': 2, 'robber': 2, 'sneaky': 2, 'petty': 2, 'brainwash': 2, 'holy fuck': 2, 'miserable': 2, 'despise': 2, 'bribe': 2, 'imbecile': 2, 'toilet paper ': 1, 'leftist': 1, 'blow off': 1, 'in jail': 1, 'it girl': 1, 'horseplay': 1, 'pawns': 1, 'vandalism': 1, 'yuck': 1, 'traitor': 1, 'easy life': 1, 'loserl': 1, 'fuckery': 1, 'rotter': 1, 'dumb shit': 1, 'freakshow': 1, 'Useless': 1, 'whining': 1, 'dumbass': 1, 'scam': 1, 'spoiled': 1, 'rotten': 1, 'white trash': 1, 'dishonest': 1, 'cheater': 1, 'unbearable': 1, 'coward': 1, 'piece of junk': 1, 'reckless': 1, 'trashbag': 1, 'sheeps': 1, 'sucker': 1, 'horrendous': 1, 'damned ': 1, 'obnoxious ': 1, 'obnoxious': 1, 'fucking annoying': 1, 'crook': 1, 'abnormal': 1}"
23,3008,"{'ugh': 627, 'con': 484, 'ass': 398, 'off': 368, 'fuck': 243, 'shit': 169, 'mean': 120, 'sly': 88, 'sick': 61, 'fat': 55, 'crazy': 46, 'brat': 46, 'mess': 46, 'beat': 45, 'babe': 44, 'bitch': 37, 'stupid': 37, 'dork': 33, 'crap': 32, 'freak': 27, 'evil': 26, 'loser': 25, 'dick': 22, 'loser ': 21, 'shame': 19, 'shade': 18, 'dumb': 18, 'jealous': 17, 'fake': 17, 'fool': 17, 'liar': 16, 'con ': 16, ' fool': 16, 'rude': 13, 'dull': 13, 'arse': 13, 'horrible': 11, 'fuck you': 11, 'slut': 11, 'terrorist': 10, 'disgusting': 9, 'blind': 8, 'ugly': 8, 'ugly ': 8, 'shut up': 8, 'vile': 8, 'asshole': 8, 'ridiculous': 8, 'shitty ': 8, 'fuck off': 7, 'you rat': 7, 'fucker': 7, 'trouble': 7, 'reckless': 6, 'pussy': 6, 'beef': 5, 'whore': 5, 'crook': 5, 'sneaky': 5, 'bastard': 5, 'selfish': 5, 'spoiled': 5, 'fuck it': 4, 'fag': 4, 'nasty': 4, 'nobody': 4, 'smug': 4, 'scumbag': 4, 'yuck': 4, 'retard': 3, 'rotten': 3, 'shameless': 3, 'holy shit': 3, 'imbecile': 3, 'corrupt': 3, 'miserable': 3, 'prick': 3, 'fraud': 3, 'coward': 3, 'bad thing': 3, 'butch': 3, 'piece of shit': 3, 'moron': 3, 'ignorant': 2, 'toilet paper ': 2, 'go crazy': 2, 'whining': 2, 'scam': 2, 'rotter': 2, 'sleazy': 2, 'brainwash': 2, 'puppets': 2, 'gangster': 2, 'frustrated': 2, 'bribe': 2, 'faggot': 2, 'rapist': 2, 'devil': 2, 'petty': 2, 'perv': 2, 'worthless': 2, 'jerk': 2, 'tabloid': 2, 'jail': 2, 'yikes': 1, 'scammer': 1, ' scammer': 1, 'beast': 1, 'murderer': 1, 'mediocre': 1, 'horrendous': 1, 'stupid people': 1, 'motherfucker': 1, 'trashbag': 1, 'go to hell': 1, 'prude': 1, 'in jail': 1, 'sheeps': 1, 'it girl': 1, 'backlash': 1, 'cheater': 1, 'white collar': 1, 'revolted': 1, 'get fucked': 1, 'talking shit': 1, 'holy fuck': 1, 'pedophile': 1, 'thug': 1, 'devilish': 1, 'commie': 1, 'robber': 1, 'blow off': 1}"
